,precision,recall,f1-score,support
0,0.7142857142857143,0.625,0.6666666666666666,8.0
1,1.0,0.9230769230769231,0.9600000000000001,13.0
2,1.0,0.8333333333333334,0.9090909090909091,12.0
3,1.0,1.0,1.0,14.0
4,1.0,1.0,1.0,14.0
5,1.0,1.0,1.0,14.0
6,0.8333333333333334,0.9090909090909091,0.8695652173913043,11.0
7,1.0,1.0,1.0,13.0
8,0.8571428571428571,0.9230769230769231,0.888888888888889,13.0
9,1.0,1.0,1.0,14.0
a,0.8333333333333334,1.0,0.9090909090909091,5.0
b,1.0,1.0,1.0,13.0
c,1.0,0.5555555555555556,0.7142857142857143,9.0
d,1.0,1.0,1.0,14.0
e,1.0,1.0,1.0,6.0
f,1.0,1.0,1.0,14.0
g,1.0,0.9166666666666666,0.9565217391304348,12.0
h,1.0,1.0,1.0,11.0
i,1.0,1.0,1.0,12.0
j,1.0,1.0,1.0,5.0
k,1.0,1.0,1.0,14.0
l,1.0,1.0,1.0,14.0
m,0.5,0.6666666666666666,0.5714285714285715,3.0
n,1.0,0.5,0.6666666666666666,4.0
o,0.5555555555555556,0.8333333333333334,0.6666666666666667,6.0
p,1.0,0.9090909090909091,0.9523809523809523,11.0
q,0.6666666666666666,1.0,0.8,4.0
r,1.0,1.0,1.0,11.0
s,1.0,1.0,1.0,3.0
t,0.5,0.5,0.5,2.0
u,1.0,1.0,1.0,13.0
v,0.8125,1.0,0.896551724137931,13.0
w,0.8333333333333334,0.8333333333333334,0.8333333333333334,12.0
x,1.0,1.0,1.0,10.0
y,1.0,1.0,1.0,9.0
z,1.0,1.0,1.0,12.0
accuracy,0.9429347826086957,0.9429347826086957,0.9429347826086957,0.9429347826086957
macro avg,0.9196152998236333,0.9146729042562376,0.9100316099766373,368.0
weighted avg,0.9517743918219462,0.9429347826086957,0.9429559763690524,368.0
