class,feature,coefficient,abs_coefficient
6,d4_19,-2.3454387605752545,2.3454387605752545
w,d17_20,-2.326239504223051,2.326239504223051
r,d6_10,-2.0014269843408288,2.0014269843408288
w,d13_19,-1.956229979067407,1.956229979067407
w,d4_19,1.8895461993355764,1.8895461993355764
6,d19_20,-1.8210574454773456,1.8210574454773456
6,d13_14,1.6979412255778914,1.6979412255778914
6,d4_13,-1.6631711719861817,1.6631711719861817
o,d7_8,1.5570631076676869,1.5570631076676869
o,d18_19,1.5550500725376453,1.5550500725376453
6,d14_17,1.5494451228128576,1.5494451228128576
0,d4_7,-1.5295861436458138,1.5295861436458138
r,d7_10,-1.5062585345225932,1.5062585345225932
w,d13_14,-1.5032393092801632,1.5032393092801632
i,d3_4,1.496528632794033,1.496528632794033
0,d4_8,-1.4878480459828334,1.4878480459828334
0,d7_8,-1.4590223278476064,1.4590223278476064
6,d17_20,1.4365188294197897,1.4365188294197897
w,d14_17,-1.4328261286159438,1.4328261286159438
6,d9_14,1.4282570235171141,1.4282570235171141
1,d0_1,-1.4085766323417874,1.4085766323417874
j,d2_3,1.3817493289613907,1.3817493289613907
r,d7_11,-1.3748221488283245,1.3748221488283245
w,d4_13,1.328017310171809,1.328017310171809
w,d13_20,-1.3149310180942666,1.3149310180942666
