,precision,recall,f1-score,support
0,0.6363636363636364,0.875,0.7368421052631579,8.0
1,1.0,0.8461538461538461,0.9166666666666666,13.0
2,1.0,1.0,1.0,12.0
3,1.0,1.0,1.0,14.0
4,1.0,1.0,1.0,14.0
5,0.9333333333333333,1.0,0.9655172413793104,14.0
6,1.0,0.8181818181818182,0.9,11.0
7,1.0,1.0,1.0,13.0
8,1.0,0.9230769230769231,0.9600000000000001,13.0
9,1.0,1.0,1.0,14.0
a,0.8333333333333334,1.0,0.9090909090909091,5.0
b,0.9285714285714286,1.0,0.962962962962963,13.0
c,1.0,0.5555555555555556,0.7142857142857143,9.0
d,1.0,1.0,1.0,14.0
e,1.0,1.0,1.0,6.0
f,1.0,1.0,1.0,14.0
g,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0
h,1.0,1.0,1.0,11.0
i,1.0,1.0,1.0,12.0
j,1.0,1.0,1.0,5.0
k,1.0,1.0,1.0,14.0
l,1.0,1.0,1.0,14.0
m,0.75,1.0,0.8571428571428571,3.0
n,0.6666666666666666,0.5,0.5714285714285715,4.0
o,0.6666666666666666,0.6666666666666666,0.6666666666666666,6.0
p,1.0,0.9090909090909091,0.9523809523809523,11.0
q,1.0,1.0,1.0,4.0
r,1.0,0.9090909090909091,0.9523809523809523,11.0
s,1.0,1.0,1.0,3.0
t,0.5,0.5,0.5,2.0
u,0.9285714285714286,1.0,0.962962962962963,13.0
v,1.0,1.0,1.0,13.0
w,0.8,1.0,0.888888888888889,12.0
x,1.0,1.0,1.0,10.0
y,1.0,1.0,1.0,9.0
z,0.9230769230769231,1.0,0.9600000000000001,12.0
accuracy,0.9510869565217391,0.9510869565217391,0.9510869565217391,0.9510869565217391
macro avg,0.9300902800902802,0.9283189804023139,0.9248301143935342,368.0
weighted avg,0.9566866557355688,0.9510869565217391,0.9503149412373254,368.0
