class,feature,coefficient,abs_coefficient
6,norm_d4_19,-2.2959964778608724,2.2959964778608724
w,norm_d4_19,1.9760863047401551,1.9760863047401551
w,norm_d13_19,-1.8720875598472664,1.8720875598472664
6,norm_d19_20,-1.828365660202622,1.828365660202622
v,theta_2_3_4,-1.6122443229386145,1.6122443229386145
w,norm_d13_20,-1.5074921913111843,1.5074921913111843
6,norm_d4_13,-1.4748749462179866,1.4748749462179866
w,x16_scale,-1.4656013872071165,1.4656013872071165
5,theta_2_3_4,-1.4265522255408871,1.4265522255408871
r,norm_d6_10,-1.4049772903594806,1.4049772903594806
w,norm_d17_20,-1.3929152186201477,1.3929152186201477
4,theta_2_3_4,1.3448671438328277,1.3448671438328277
6,norm_d13_19,1.3404052958127524,1.3404052958127524
w,norm_d4_13,1.3250219212436785,1.3250219212436785
w,theta_13_14_15,1.3167773342322215,1.3167773342322215
w,norm_d19_20,1.243683573821093,1.243683573821093
w,norm_d14_17,-1.2267013426887754,1.2267013426887754
6,norm_d6_20,-1.1676767336810703,1.1676767336810703
6,norm_d14_17,1.1540791488042794,1.1540791488042794
w,x15_scale,-1.151107439199835,1.151107439199835
w,norm_d13_17,-1.1415094513198363,1.1415094513198363
5,norm_d4_9,1.1398431139969194,1.1398431139969194
2,theta_2_3_4,1.1254821075703565,1.1254821075703565
6,theta_10_11_12,1.0979537437116123,1.0979537437116123
4,norm_d4_9,-1.0682002277033813,1.0682002277033813
