,precision,recall,f1-score,support
0,0.8571428571428571,0.75,0.7999999999999999,8.0
1,0.9166666666666666,0.8461538461538461,0.8799999999999999,13.0
2,1.0,1.0,1.0,12.0
3,1.0,1.0,1.0,14.0
4,1.0,1.0,1.0,14.0
5,1.0,1.0,1.0,14.0
6,1.0,0.9090909090909091,0.9523809523809523,11.0
7,1.0,1.0,1.0,13.0
8,0.9230769230769231,0.9230769230769231,0.9230769230769231,13.0
9,1.0,1.0,1.0,14.0
a,0.8333333333333334,1.0,0.9090909090909091,5.0
b,0.9285714285714286,1.0,0.962962962962963,13.0
c,1.0,0.5555555555555556,0.7142857142857143,9.0
d,1.0,1.0,1.0,14.0
e,1.0,1.0,1.0,6.0
f,1.0,1.0,1.0,14.0
g,1.0,0.9166666666666666,0.9565217391304348,12.0
h,1.0,1.0,1.0,11.0
i,0.9230769230769231,1.0,0.9600000000000001,12.0
j,1.0,0.8,0.888888888888889,5.0
k,1.0,1.0,1.0,14.0
l,1.0,1.0,1.0,14.0
m,1.0,1.0,1.0,3.0
n,1.0,0.5,0.6666666666666666,4.0
o,0.5,0.8333333333333334,0.625,6.0
p,1.0,0.9090909090909091,0.9523809523809523,11.0
q,0.8,1.0,0.888888888888889,4.0
r,1.0,0.9090909090909091,0.9523809523809523,11.0
s,1.0,1.0,1.0,3.0
t,0.3333333333333333,0.5,0.4,2.0
u,0.9285714285714286,1.0,0.962962962962963,13.0
v,1.0,1.0,1.0,13.0
w,0.8571428571428571,1.0,0.923076923076923,12.0
x,1.0,1.0,1.0,10.0
y,1.0,1.0,1.0,9.0
z,0.9230769230769231,1.0,0.9600000000000001,12.0
accuracy,0.9510869565217391,0.9510869565217391,0.9510869565217391,0.9510869565217391
macro avg,0.9367775742775741,0.926446084779418,0.9244045954492814,368.0
weighted avg,0.9602977185857621,0.9510869565217391,0.9513355572086668,368.0
