class,feature,coefficient,abs_coefficient
6,norm_d4_19,-7.7193585032521,7.7193585032521
w,norm_d4_19,6.653902171598707,6.653902171598707
w,norm_d13_19,-4.6489407823616595,4.6489407823616595
6,norm_d19_20,-4.588859821588695,4.588859821588695
w,norm_d13_20,-3.831287836614633,3.831287836614633
6,norm_d4_13,-3.6359586597290305,3.6359586597290305
6,norm_d13_19,3.5338331772180203,3.5338331772180203
w,norm_d19_20,3.434639557825254,3.434639557825254
6,norm_d14_17,3.316369522781342,3.316369522781342
6,norm_d6_16,-3.2992918372616,3.2992918372616
6,norm_d6_20,-3.2207813390812405,3.2207813390812405
w,norm_d14_18,3.2142611745627705,3.2142611745627705
6,norm_d14_18,-3.172277590029044,3.172277590029044
w,norm_d14_17,-3.1646422760054893,3.1646422760054893
6,norm_d5_14,3.150313314050145,3.150313314050145
6,norm_d3_9,-3.066113260591723,3.066113260591723
6,norm_d4_8,3.039291379857644,3.039291379857644
6,norm_d10_14,3.010860285882316,3.010860285882316
w,norm_d9_19,-2.964435380570933,2.964435380570933
r,norm_d6_10,-2.929961469538905,2.929961469538905
w,norm_d6_16,2.920389504492099,2.920389504492099
6,norm_d13_14,2.913041276830809,2.913041276830809
w,norm_d4_13,2.8498458826496926,2.8498458826496926
w,norm_d10_14,-2.8374565929716296,2.8374565929716296
w,norm_d3_9,2.812693529563548,2.812693529563548
