,precision,recall,f1-score,support
0,0.5714285714285714,0.5,0.5333333333333333,8.0
1,1.0,0.8461538461538461,0.9166666666666666,13.0
2,1.0,0.75,0.8571428571428571,12.0
3,1.0,1.0,1.0,14.0
4,1.0,1.0,1.0,14.0
5,1.0,1.0,1.0,14.0
6,0.7777777777777778,0.6363636363636364,0.7000000000000001,11.0
7,0.9285714285714286,1.0,0.962962962962963,13.0
8,1.0,0.9230769230769231,0.9600000000000001,13.0
9,1.0,1.0,1.0,14.0
a,0.8333333333333334,1.0,0.9090909090909091,5.0
b,1.0,1.0,1.0,13.0
c,0.875,0.7777777777777778,0.823529411764706,9.0
d,1.0,1.0,1.0,14.0
e,1.0,1.0,1.0,6.0
f,1.0,1.0,1.0,14.0
g,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0
h,1.0,1.0,1.0,11.0
i,1.0,1.0,1.0,12.0
j,1.0,0.8,0.888888888888889,5.0
k,1.0,1.0,1.0,14.0
l,1.0,1.0,1.0,14.0
m,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
n,1.0,0.5,0.6666666666666666,4.0
o,0.4,0.6666666666666666,0.5,6.0
p,1.0,0.9090909090909091,0.9523809523809523,11.0
q,1.0,1.0,1.0,4.0
r,1.0,0.9090909090909091,0.9523809523809523,11.0
s,1.0,1.0,1.0,3.0
t,0.5,0.5,0.5,2.0
u,0.9285714285714286,1.0,0.962962962962963,13.0
v,0.8125,1.0,0.896551724137931,13.0
w,0.6666666666666666,0.8333333333333334,0.7407407407407408,12.0
x,1.0,1.0,1.0,10.0
y,1.0,1.0,1.0,9.0
z,0.8571428571428571,1.0,0.923076923076923,12.0
accuracy,0.9239130434782609,0.9239130434782609,0.9239130434782609,0.9239130434782609
macro avg,0.9092868165784833,0.8926357593024261,0.8952697023758552,368.0
weighted avg,0.9335862016908212,0.9239130434782609,0.9248037509524965,368.0
