class,feature,coefficient,abs_coefficient
w,y20,10.662920980649032,10.662920980649032
v,y4,9.08794484827436,9.08794484827436
2,x20,8.131657140880662,8.131657140880662
0,y16,-7.861868947829167,7.861868947829167
4,x20,-7.684388582909912,7.684388582909912
c,y8,-7.4988205089542435,7.4988205089542435
0,y5,7.4550627870575275,7.4550627870575275
2,y2,7.422896721220451,7.422896721220451
2,x4,-7.208804862944342,7.208804862944342
5,x4,7.1366484968514445,7.1366484968514445
r,x8,-7.056731412859333,7.056731412859333
c,x4,6.807142570045867,6.807142570045867
0,y4,-6.783515693042268,6.783515693042268
r,x10,6.512713218655616,6.512713218655616
2,x8,6.298151734211224,6.298151734211224
0,y1,-6.226766703313852,6.226766703313852
r,x7,-6.20766217819298,6.20766217819298
4,x16,-6.011253184797425,6.011253184797425
c,x0,-5.779085552302191,5.779085552302191
2,x11,-5.76926223309845,5.76926223309845
1,y4,-5.750489927228513,5.750489927228513
o,y16,5.70396756185463,5.70396756185463
o,y1,5.693975303336753,5.693975303336753
0,x16,5.611708071845238,5.611708071845238
6,x18,5.594626693934071,5.594626693934071
