class,feature,coefficient,abs_coefficient
0,y16,-7.861868947829167,7.861868947829167
0,y5,7.4550627870575275,7.4550627870575275
0,y4,-6.783515693042268,6.783515693042268
0,y1,-6.226766703313852,6.226766703313852
0,x16,5.611708071845238,5.611708071845238
0,y13,-5.397703790419429,5.397703790419429
0,x18,5.37782004923523,5.37782004923523
0,x12,5.196022330295576,5.196022330295576
0,y3,4.976141855015304,4.976141855015304
0,y7,4.430366314700684,4.430366314700684
1,y4,-5.750489927228513,5.750489927228513
1,y12,2.964775566858357,2.964775566858357
1,y7,-2.9175548961750253,2.9175548961750253
1,y11,2.8229542528901552,2.8229542528901552
1,x0,2.8223020893561865,2.8223020893561865
1,x2,-2.407370857514738,2.407370857514738
1,y9,2.378836412587455,2.378836412587455
1,y2,2.2079849411374934,2.2079849411374934
1,y8,-1.969512903571022,1.969512903571022
1,y0,1.8627433376276057,1.8627433376276057
2,x20,8.131657140880662,8.131657140880662
2,y2,7.422896721220451,7.422896721220451
2,x4,-7.208804862944342,7.208804862944342
2,x8,6.298151734211224,6.298151734211224
2,x11,-5.76926223309845,5.76926223309845
2,x7,5.4266879829541885,5.4266879829541885
2,x3,-5.150662732443885,5.150662732443885
2,x19,4.9953531691493085,4.9953531691493085
2,x18,-4.981538623569377,4.981538623569377
2,x12,-4.926876660163991,4.926876660163991
3,x4,2.351143357751649,2.351143357751649
3,x12,-2.100329851263529,2.100329851263529
3,x11,-1.9263134557629282,1.9263134557629282
3,x3,1.6779618041301194,1.6779618041301194
3,x10,-1.4816744063619531,1.4816744063619531
3,x14,-1.4604372128744176,1.4604372128744176
3,y4,-1.3401329282311147,1.3401329282311147
3,y16,1.290785632723856,1.290785632723856
3,x13,-1.2389334951809057,1.2389334951809057
3,y20,1.200468687581965,1.200468687581965
4,x20,-7.684388582909912,7.684388582909912
4,x16,-6.011253184797425,6.011253184797425
4,x4,-5.573623943147128,5.573623943147128
4,x19,-4.876385515301588,4.876385515301588
4,x0,4.696494779640452,4.696494779640452
4,y11,-4.659137923258887,4.659137923258887
4,y0,4.508163514122082,4.508163514122082
4,y12,-3.8937040180113343,3.8937040180113343
4,y3,3.888345010109314,3.888345010109314
4,y20,-3.625111356267972,3.625111356267972
5,x4,7.1366484968514445,7.1366484968514445
5,x6,4.498832344782979,4.498832344782979
5,x0,-4.483650163489609,4.483650163489609
5,x5,4.1969529760143764,4.1969529760143764
5,y3,-3.3847032347013375,3.3847032347013375
5,x14,-3.3425394137702327,3.3425394137702327
5,y4,3.218114103477284,3.218114103477284
5,y20,-3.1964770198263515,3.1964770198263515
5,y7,-2.8815047450395324,2.8815047450395324
5,y9,2.812055962450846,2.812055962450846
6,x18,5.594626693934071,5.594626693934071
6,x8,5.243688281935698,5.243688281935698
6,x4,-5.047826164879017,5.047826164879017
6,y19,5.038106684004003,5.038106684004003
6,y10,4.664549577367427,4.664549577367427
6,x14,-4.482435473002047,4.482435473002047
6,x12,-4.198734244880966,4.198734244880966
6,x6,-4.046810785737962,4.046810785737962
6,y13,3.60722804967408,3.60722804967408
6,y16,-3.5232104937643847,3.5232104937643847
7,y16,3.4507047663177155,3.4507047663177155
7,x20,-3.4426866359899067,3.4426866359899067
7,y20,-2.907479690387595,2.907479690387595
7,x16,2.820363473154243,2.820363473154243
7,x19,-2.488542555215375,2.488542555215375
7,x6,2.41605197211318,2.41605197211318
7,x7,2.2311326713724813,2.2311326713724813
7,x8,2.1976971722359613,2.1976971722359613
7,y17,-2.0869470272267896,2.0869470272267896
7,x15,1.9442397783518102,1.9442397783518102
8,y16,-3.4015244962979216,3.4015244962979216
8,y12,3.2455351553562153,3.2455351553562153
8,y0,-3.1459413352496237,3.1459413352496237
8,x0,2.8872038430930336,2.8872038430930336
8,x14,2.8246798194549982,2.8246798194549982
8,x20,-2.505170567313382,2.505170567313382
8,y20,-2.498637092575941,2.498637092575941
8,x17,2.46997736096905,2.46997736096905
8,x9,-2.399187624434045,2.399187624434045
8,x18,2.2573344084536022,2.2573344084536022
9,y8,2.6691800958625027,2.6691800958625027
9,y7,2.2803407146545496,2.2803407146545496
9,x2,2.0900378222770057,2.0900378222770057
9,x3,1.5428130206133779,1.5428130206133779
9,x20,-1.515629021647814,1.515629021647814
9,x19,-1.336710281055765,1.336710281055765
9,x16,-1.1365369155969347,1.1365369155969347
9,y12,-1.0718587172633354,1.0718587172633354
9,x1,1.0646152148954022,1.0646152148954022
9,x10,1.0187401439654777,1.0187401439654777
a,y4,-4.782277273885987,4.782277273885987
a,y7,3.151707437765365,3.151707437765365
a,y8,2.0381394727913094,2.0381394727913094
a,x4,1.9092168821724802,1.9092168821724802
a,x0,1.8954932790455266,1.8954932790455266
a,y3,-1.7763251057924139,1.7763251057924139
a,x2,-1.7646708716860453,1.7646708716860453
a,y6,-1.5028287621995395,1.5028287621995395
a,y18,-1.4143910144782623,1.4143910144782623
a,y20,1.4077422093297833,1.4077422093297833
b,y20,-3.5400775968838105,3.5400775968838105
b,x8,-2.9807499002549673,2.9807499002549673
b,y16,-2.9699386936910743,2.9699386936910743
