class,feature,coefficient,abs_coefficient
r,x8,-4.357028264662522,4.357028264662522
v,y4,4.186934414537994,4.186934414537994
r,x7,-3.6396357483468975,3.6396357483468975
4,x20,-3.615467593738502,3.615467593738502
5,x4,3.3776957948652195,3.3776957948652195
r,x10,3.342068144472912,3.342068144472912
k,y4,-3.1423187080865755,3.1423187080865755
2,x8,3.084031394461557,3.084031394461557
u,y4,3.0657062015589265,3.0657062015589265
2,x4,-3.0477717741266717,3.0477717741266717
c,x4,3.0338291864443,3.0338291864443
w,y20,3.001017436013166,3.001017436013166
2,x11,-2.9056805942043917,2.9056805942043917
2,x12,-2.787734027058527,2.787734027058527
v,x8,2.7392826872023703,2.7392826872023703
2,x7,2.732849383829275,2.732849383829275
v,x7,2.6262047473037122,2.6262047473037122
2,y0,2.5448959585377353,2.5448959585377353
6,x4,-2.529903128571811,2.529903128571811
o,y18,-2.48141852491693,2.48141852491693
4,x19,-2.4544469797308177,2.4544469797308177
c,y20,-2.4466966720303027,2.4466966720303027
4,x16,-2.4125194537479926,2.4125194537479926
r,x6,-2.3711580686873392,2.3711580686873392
2,x3,-2.3668646281038317,2.3668646281038317
