,precision,recall,f1-score,support
0,0.4,0.5,0.4444444444444445,8.0
1,0.9166666666666666,0.8461538461538461,0.8799999999999999,13.0
2,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0
3,1.0,1.0,1.0,14.0
4,0.8666666666666667,0.9285714285714286,0.896551724137931,14.0
5,0.9230769230769231,0.8571428571428571,0.888888888888889,14.0
6,0.6363636363636364,0.6363636363636364,0.6363636363636364,11.0
7,1.0,1.0,1.0,13.0
8,1.0,0.8461538461538461,0.9166666666666666,13.0
9,1.0,1.0,1.0,14.0
a,1.0,1.0,1.0,5.0
b,1.0,1.0,1.0,13.0
c,0.7777777777777778,0.7777777777777778,0.7777777777777778,9.0
d,1.0,1.0,1.0,14.0
e,1.0,1.0,1.0,6.0
f,1.0,1.0,1.0,14.0
g,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0
h,1.0,1.0,1.0,11.0
i,1.0,1.0,1.0,12.0
j,1.0,0.8,0.888888888888889,5.0
k,1.0,1.0,1.0,14.0
l,1.0,1.0,1.0,14.0
m,0.5,0.3333333333333333,0.4,3.0
n,0.6666666666666666,0.5,0.5714285714285715,4.0
o,0.5,0.6666666666666666,0.5714285714285715,6.0
p,1.0,0.9090909090909091,0.9523809523809523,11.0
q,1.0,0.75,0.8571428571428571,4.0
r,1.0,1.0,1.0,11.0
s,1.0,1.0,1.0,3.0
t,0.3333333333333333,0.5,0.4,2.0
u,1.0,1.0,1.0,13.0
v,0.9230769230769231,0.9230769230769231,0.9230769230769231,13.0
w,0.6428571428571429,0.75,0.6923076923076924,12.0
x,1.0,1.0,1.0,10.0
y,1.0,1.0,1.0,9.0
z,0.9230769230769231,1.0,0.9600000000000001,12.0
accuracy,0.9103260869565217,0.9103260869565217,0.9103260869565217,0.9103260869565217
macro avg,0.8845248886915553,0.8710462377129043,0.8747411368963093,368.0
weighted avg,0.9179283126293997,0.9103260869565217,0.9124988455863644,368.0
