class,feature,coefficient,abs_coefficient
r,x8_scale,-1.9630078495796819,1.9630078495796819
w,y20_scale,1.9198607401487067,1.9198607401487067
r,x10_scale,1.6775953684099465,1.6775953684099465
d,y4_scale,1.6289632133270289,1.6289632133270289
v,y4_scale,1.6279227246899326,1.6279227246899326
c,x0_scale,-1.6225929491622129,1.6225929491622129
8,y16_scale,-1.6179299035528631,1.6179299035528631
k,y4_scale,-1.6026492693137682,1.6026492693137682
a,y4_scale,-1.5449551128679797,1.5449551128679797
2,x8_scale,1.522738587464119,1.522738587464119
r,x7_scale,-1.504523467667204,1.504523467667204
5,x4_scale,1.481171143484799,1.481171143484799
2,x7_scale,1.468928979021325,1.468928979021325
9,y8_scale,1.4367004893366402,1.4367004893366402
2,x4_scale,-1.4093948979286712,1.4093948979286712
r,y12_scale,-1.3783736430245623,1.3783736430245623
v,x8_scale,1.354267841086334,1.354267841086334
i,y20_scale,-1.3034936284562955,1.3034936284562955
y,y4_scale,-1.300555589250697,1.300555589250697
z,x8_scale,-1.2860792001875758,1.2860792001875758
d,y12_scale,1.2823465379982932,1.2823465379982932
e,y10_scale,-1.2507839373670238,1.2507839373670238
r,y11_scale,-1.249591172455145,1.249591172455145
c,x1_scale,-1.2381218795479776,1.2381218795479776
8,y12_scale,1.2338202680006087,1.2338202680006087
