class,feature,coefficient,abs_coefficient
0,y1_scale,-0.8627758842475282,0.8627758842475282
0,x20_scale,0.8232897980377353,0.8232897980377353
0,x18_scale,0.745264234922981,0.745264234922981
0,x19_scale,0.6184915425988124,0.6184915425988124
0,x3_scale,0.5977903879191067,0.5977903879191067
0,x0_scale,-0.5636192772200986,0.5636192772200986
0,y20_scale,0.428842127360456,0.428842127360456
0,y4_scale,-0.41249684039376094,0.41249684039376094
0,x17_scale,0.38226375369110066,0.38226375369110066
0,y6_scale,0.33154581866079563,0.33154581866079563
1,y4_scale,-1.1855317899884878,1.1855317899884878
1,y11_scale,1.089812649646698,1.089812649646698
1,y12_scale,1.0855293470732246,1.0855293470732246
1,x3_scale,0.846070035819512,0.846070035819512
1,x0_scale,0.8408206241948324,0.8408206241948324
1,x11_scale,0.7869440215612192,0.7869440215612192
1,y9_scale,0.7595985563554103,0.7595985563554103
1,x12_scale,0.7276033744520521,0.7276033744520521
1,y10_scale,0.6949565590527345,0.6949565590527345
1,x17_scale,-0.597637797609888,0.597637797609888
2,x8_scale,1.522738587464119,1.522738587464119
2,x7_scale,1.468928979021325,1.468928979021325
2,x4_scale,-1.4093948979286712,1.4093948979286712
2,x6_scale,1.1660128991206298,1.1660128991206298
2,x12_scale,-1.1503412159867137,1.1503412159867137
2,x11_scale,-1.0683658513866254,1.0683658513866254
2,x10_scale,-0.8589910000872543,0.8589910000872543
2,y14_scale,0.7686795272306626,0.7686795272306626
2,x15_scale,0.7534449951626714,0.7534449951626714
2,x18_scale,-0.7172692513863628,0.7172692513863628
3,x4_scale,0.9985503866485635,0.9985503866485635
3,x12_scale,-0.8396823591556489,0.8396823591556489
3,y12_scale,-0.7761101042692078,0.7761101042692078
3,x11_scale,-0.7528238196076367,0.7528238196076367
3,y11_scale,-0.6847641448914294,0.6847641448914294
3,y16_scale,0.5586969236360457,0.5586969236360457
3,x10_scale,-0.5288995774221431,0.5288995774221431
3,y15_scale,0.5209135393561916,0.5209135393561916
3,y14_scale,0.49591644862023865,0.49591644862023865
3,y19_scale,0.4670142741532476,0.4670142741532476
