,precision,recall,f1-score,support
0,0.8,0.5,0.6153846153846154,8.0
1,1.0,0.8461538461538461,0.9166666666666666,13.0
2,1.0,0.75,0.8571428571428571,12.0
3,1.0,1.0,1.0,14.0
4,1.0,1.0,1.0,14.0
5,1.0,1.0,1.0,14.0
6,0.6153846153846154,0.7272727272727273,0.6666666666666667,11.0
7,1.0,1.0,1.0,13.0
8,1.0,0.9230769230769231,0.9600000000000001,13.0
9,1.0,1.0,1.0,14.0
a,1.0,1.0,1.0,5.0
b,1.0,1.0,1.0,13.0
c,0.8,0.8888888888888888,0.8421052631578948,9.0
d,1.0,1.0,1.0,14.0
e,1.0,1.0,1.0,6.0
f,1.0,1.0,1.0,14.0
g,1.0,0.8333333333333334,0.9090909090909091,12.0
h,1.0,1.0,1.0,11.0
i,1.0,1.0,1.0,12.0
j,0.8333333333333334,1.0,0.9090909090909091,5.0
k,1.0,1.0,1.0,14.0
l,1.0,1.0,1.0,14.0
m,0.5,0.6666666666666666,0.5714285714285715,3.0
n,1.0,0.5,0.6666666666666666,4.0
o,0.5,0.6666666666666666,0.5714285714285715,6.0
p,1.0,0.9090909090909091,0.9523809523809523,11.0
q,1.0,1.0,1.0,4.0
r,1.0,0.9090909090909091,0.9523809523809523,11.0
s,0.6,1.0,0.7499999999999999,3.0
t,1.0,0.5,0.6666666666666666,2.0
u,0.9285714285714286,1.0,0.962962962962963,13.0
v,0.8666666666666667,1.0,0.9285714285714286,13.0
w,0.7142857142857143,0.8333333333333334,0.7692307692307692,12.0
x,1.0,1.0,1.0,10.0
y,0.9,1.0,0.9473684210526316,9.0
z,0.9230769230769231,1.0,0.9600000000000001,12.0
accuracy,0.9293478260869565,0.9293478260869565,0.9293478260869565,0.9293478260869565
macro avg,0.916147741147741,0.9014881723215057,0.8993120513880748,368.0
weighted avg,0.940006370441153,0.9293478260869565,0.9298493321662658,368.0
