class,feature,coefficient,abs_coefficient
w,y20_trans,12.05169002717464,12.05169002717464
c,x0_trans,-9.270260556332941,9.270260556332941
0,y1_trans,-8.710584391350878,8.710584391350878
2,x4_trans,-8.407050830043701,8.407050830043701
v,y4_trans,8.279132558620844,8.279132558620844
6,x18_trans,7.977019265337764,7.977019265337764
6,x4_trans,-7.738131346337444,7.738131346337444
r,x8_trans,-7.2883158631037865,7.2883158631037865
w,x18_trans,-7.202337070753969,7.202337070753969
5,x0_trans,-7.01736939760105,7.01736939760105
2,x3_trans,-6.8504144951082315,6.8504144951082315
2,y2_trans,6.755111132727143,6.755111132727143
2,y0_trans,6.733203815620946,6.733203815620946
c,y8_trans,-6.695392036988903,6.695392036988903
5,x4_trans,6.660653161180504,6.660653161180504
0,y5_trans,6.584479408094086,6.584479408094086
4,x16_trans,-6.583256043031022,6.583256043031022
r,x7_trans,-6.526040379067836,6.526040379067836
0,y4_trans,-6.509078357808224,6.509078357808224
4,y0_trans,6.42619070815587,6.42619070815587
w,y13_trans,-6.385830983895942,6.385830983895942
6,y19_trans,6.336980088868509,6.336980088868509
o,y5_trans,-6.1988659768943,6.1988659768943
o,y16_trans,6.162626773731589,6.162626773731589
2,x20_trans,6.0890454274848045,6.0890454274848045
