class,feature,coefficient,abs_coefficient
0,y1_trans,-8.710584391350878,8.710584391350878
0,y5_trans,6.584479408094086,6.584479408094086
0,y4_trans,-6.509078357808224,6.509078357808224
0,y16_trans,-5.83618612217512,5.83618612217512
0,x3_trans,5.724121577385694,5.724121577385694
0,x18_trans,5.6068951407103835,5.6068951407103835
0,y14_trans,4.358251773043606,4.358251773043606
0,y3_trans,4.140562134633456,4.140562134633456
0,y13_trans,-4.019587996735598,4.019587996735598
0,y15_trans,-3.836632884801636,3.836632884801636
1,y4_trans,-6.0429155479283585,6.0429155479283585
1,y11_trans,2.8276725422082074,2.8276725422082074
1,y12_trans,2.697437836385185,2.697437836385185
1,y9_trans,2.5261021842742757,2.5261021842742757
1,y13_trans,2.213994991566734,2.213994991566734
1,y17_trans,2.131062368365744,2.131062368365744
1,x2_trans,-2.1297016290263633,2.1297016290263633
1,x0_trans,2.121780575867199,2.121780575867199
1,y2_trans,1.9661899996798755,1.9661899996798755
1,y0_trans,1.7571351898566228,1.7571351898566228
2,x4_trans,-8.407050830043701,8.407050830043701
2,x3_trans,-6.8504144951082315,6.8504144951082315
2,y2_trans,6.755111132727143,6.755111132727143
2,y0_trans,6.733203815620946,6.733203815620946
2,x20_trans,6.0890454274848045,6.0890454274848045
2,y3_trans,5.915670738900354,5.915670738900354
2,y17_trans,5.799309764640249,5.799309764640249
2,x18_trans,-5.430799324115698,5.430799324115698
2,x11_trans,-5.072696873784429,5.072696873784429
2,x10_trans,-4.826548538856613,4.826548538856613
3,x4_trans,3.838522783487282,3.838522783487282
3,x3_trans,2.903618085715612,2.903618085715612
3,x12_trans,-1.5324693222881418,1.5324693222881418
3,y16_trans,1.3971479416791401,1.3971479416791401
3,y15_trans,1.326595116039073,1.326595116039073
3,x11_trans,-1.3054437690070684,1.3054437690070684
3,x2_trans,1.0187960917306889,1.0187960917306889
3,y20_trans,1.0164216099470285,1.0164216099470285
3,y14_trans,1.000764131973541,1.000764131973541
3,y19_trans,0.9666840649485493,0.9666840649485493
4,x16_trans,-6.583256043031022,6.583256043031022
4,y0_trans,6.42619070815587,6.42619070815587
4,y3_trans,5.6353797313878795,5.6353797313878795
4,x0_trans,5.185423887203644,5.185423887203644
4,y11_trans,-4.55150936146481,4.55150936146481
4,x14_trans,4.511430702796956,4.511430702796956
4,x20_trans,-4.261424133203555,4.261424133203555
4,x8_trans,3.619381565261031,3.619381565261031
4,y12_trans,-3.4501996470220138,3.4501996470220138
4,y1_trans,3.1630273310223727,3.1630273310223727
5,x0_trans,-7.01736939760105,7.01736939760105
5,x4_trans,6.660653161180504,6.660653161180504
