,precision,recall,f1-score,support
0,0.7272727272727273,1.0,0.8421052631578948,8.0
1,0.9166666666666666,0.8461538461538461,0.8799999999999999,13.0
2,1.0,0.9166666666666666,0.9565217391304348,12.0
3,1.0,1.0,1.0,14.0
4,1.0,0.9285714285714286,0.962962962962963,14.0
5,0.9333333333333333,1.0,0.9655172413793104,14.0
6,1.0,0.6363636363636364,0.7777777777777778,11.0
7,1.0,1.0,1.0,13.0
8,1.0,0.9230769230769231,0.9600000000000001,13.0
9,0.9333333333333333,1.0,0.9655172413793104,14.0
a,0.7142857142857143,1.0,0.8333333333333333,5.0
b,1.0,1.0,1.0,13.0
c,1.0,0.7777777777777778,0.8750000000000001,9.0
d,0.9333333333333333,1.0,0.9655172413793104,14.0
e,1.0,1.0,1.0,6.0
f,1.0,1.0,1.0,14.0
g,1.0,0.8333333333333334,0.9090909090909091,12.0
h,0.8461538461538461,1.0,0.9166666666666666,11.0
i,0.8571428571428571,1.0,0.923076923076923,12.0
j,1.0,0.6,0.7499999999999999,5.0
k,0.9285714285714286,0.9285714285714286,0.9285714285714286,14.0
l,1.0,0.9285714285714286,0.962962962962963,14.0
m,1.0,0.3333333333333333,0.5,3.0
n,0.5,0.5,0.5,4.0
o,0.6666666666666666,1.0,0.8,6.0
p,0.7692307692307693,0.9090909090909091,0.8333333333333333,11.0
q,1.0,0.25,0.4,4.0
r,1.0,1.0,1.0,11.0
s,1.0,0.6666666666666666,0.8,3.0
t,1.0,0.5,0.6666666666666666,2.0
u,0.9230769230769231,0.9230769230769231,0.9230769230769231,13.0
v,0.9230769230769231,0.9230769230769231,0.9230769230769231,13.0
w,0.75,1.0,0.8571428571428571,12.0
x,0.9090909090909091,1.0,0.9523809523809523,10.0
y,1.0,0.8888888888888888,0.9411764705882353,9.0
z,0.8461538461538461,0.9166666666666666,0.8799999999999999,12.0
accuracy,0.9157608695652174,0.9157608695652174,0.9157608695652174,0.9157608695652174
macro avg,0.9188163688163689,0.8647190772190773,0.8708743282537532,368.0
weighted avg,0.9288205906412427,0.9157608695652174,0.9122458469079071,368.0
