feature,importance
theta_1_2_3,0.1096714241079732
theta_5_6_7,0.0931681601084884
theta_0_5_6,0.09185235634017096
theta_9_10_11,0.08713210697717091
theta_17_18_19,0.08460314826076304
theta_13_14_15,0.08428036731215019
theta_0_9_10,0.06957772750806594
theta_2_3_4,0.06732670631948638
theta_0_1_2,0.052122604424097975
theta_6_7_8,0.04792448518952557
theta_0_17_18,0.04660647497336134
theta_18_19_20,0.044904493569649755
theta_0_13_14,0.04262812097731911
theta_10_11_12,0.03923719782872431
theta_14_15_16,0.038964626103053124
