,precision,recall,f1-score,support
0,0.4444444444444444,0.5,0.47058823529411764,8.0
1,1.0,0.8461538461538461,0.9166666666666666,13.0
2,1.0,0.9166666666666666,0.9565217391304348,12.0
3,0.875,1.0,0.9333333333333333,14.0
4,0.9333333333333333,1.0,0.9655172413793104,14.0
5,1.0,0.9285714285714286,0.962962962962963,14.0
6,1.0,0.8181818181818182,0.9,11.0
7,1.0,1.0,1.0,13.0
8,1.0,0.9230769230769231,0.9600000000000001,13.0
9,1.0,1.0,1.0,14.0
a,1.0,1.0,1.0,5.0
b,1.0,1.0,1.0,13.0
c,1.0,0.6666666666666666,0.8,9.0
d,1.0,1.0,1.0,14.0
e,1.0,1.0,1.0,6.0
f,1.0,1.0,1.0,14.0
g,1.0,1.0,1.0,12.0
h,1.0,1.0,1.0,11.0
i,1.0,1.0,1.0,12.0
j,1.0,1.0,1.0,5.0
k,1.0,1.0,1.0,14.0
l,1.0,1.0,1.0,14.0
m,0.5,0.6666666666666666,0.5714285714285715,3.0
n,0.5,0.5,0.5,4.0
o,0.6,1.0,0.7499999999999999,6.0
p,1.0,0.9090909090909091,0.9523809523809523,11.0
q,1.0,1.0,1.0,4.0
r,1.0,1.0,1.0,11.0
s,1.0,0.6666666666666666,0.8,3.0
t,1.0,0.5,0.6666666666666666,2.0
u,1.0,1.0,1.0,13.0
v,0.9285714285714286,1.0,0.962962962962963,13.0
w,0.8571428571428571,1.0,0.923076923076923,12.0
x,1.0,1.0,1.0,10.0
y,1.0,1.0,1.0,9.0
z,0.9230769230769231,1.0,0.9600000000000001,12.0
accuracy,0.9456521739130435,0.9456521739130435,0.9456521739130435,0.9456521739130435
macro avg,0.9322658051824718,0.9122705997705999,0.9153362848689695,368.0
weighted avg,0.9549083917290438,0.9456521739130435,0.9465877012643871,368.0
