,precision,recall,f1-score,support
0,0.5714285714285714,0.5,0.5333333333333333,8.0
1,1.0,0.9230769230769231,0.9600000000000001,13.0
2,1.0,0.9166666666666666,0.9565217391304348,12.0
3,0.9333333333333333,1.0,0.9655172413793104,14.0
4,0.9333333333333333,1.0,0.9655172413793104,14.0
5,1.0,0.9285714285714286,0.962962962962963,14.0
6,0.8888888888888888,0.7272727272727273,0.7999999999999999,11.0
7,1.0,1.0,1.0,13.0
8,1.0,0.9230769230769231,0.9600000000000001,13.0
9,1.0,1.0,1.0,14.0
a,0.8333333333333334,1.0,0.9090909090909091,5.0
b,1.0,1.0,1.0,13.0
c,1.0,0.7777777777777778,0.8750000000000001,9.0
d,1.0,1.0,1.0,14.0
e,0.8571428571428571,1.0,0.923076923076923,6.0
f,1.0,1.0,1.0,14.0
g,1.0,0.9166666666666666,0.9565217391304348,12.0
h,1.0,1.0,1.0,11.0
i,0.8571428571428571,1.0,0.923076923076923,12.0
j,1.0,0.6,0.7499999999999999,5.0
k,1.0,1.0,1.0,14.0
l,1.0,1.0,1.0,14.0
m,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
n,0.5,0.5,0.5,4.0
o,0.5454545454545454,1.0,0.7058823529411764,6.0
p,1.0,0.9090909090909091,0.9523809523809523,11.0
q,1.0,1.0,1.0,4.0
r,1.0,1.0,1.0,11.0
s,1.0,0.6666666666666666,0.8,3.0
t,1.0,0.5,0.6666666666666666,2.0
u,1.0,1.0,1.0,13.0
v,0.9285714285714286,1.0,0.962962962962963,13.0
w,0.8,1.0,0.888888888888889,12.0
x,1.0,1.0,1.0,10.0
y,1.0,1.0,1.0,9.0
z,1.0,1.0,1.0,12.0
accuracy,0.9402173913043478,0.9402173913043478,0.9402173913043478,0.9402173913043478
macro avg,0.925424883758217,0.90154259320926,0.9051129861963294,368.0
weighted avg,0.9484291674509066,0.9402173913043478,0.93998639923667,368.0
