feature,importance
y12,0.04945294227360871
y16,0.043584996026072555
x20,0.03951293908303723
y20,0.039224242435412095
x4,0.03909645462233184
y11,0.03591796200798778
x8,0.03588946316573979
y8,0.03540136333693705
y4,0.03525189397063229
y7,0.034543300170241466
y15,0.03386272722543405
x12,0.032856039938220116
x7,0.03148380042817273
x19,0.028863015808044422
x11,0.028749019800505888
y19,0.02820349800136467
x6,0.027302867837026075
x18,0.02341563070412675
x16,0.022159746320596783
y3,0.020887552574817364
x3,0.020313863612363012
x15,0.019953340916654228
x0,0.019410336367601307
x5,0.01927472812409581
y14,0.018701493947722844
x10,0.016652525362033925
x9,0.016546300544179732
y17,0.01619464233715277
y5,0.015939972560100695
y18,0.015922824997572395
y6,0.015767915080657682
x13,0.015313460318795089
x2,0.014341668569845142
x14,0.014322951970176362
y2,0.014296938566365285
x17,0.012999249238545878
x1,0.012818989490449514
y10,0.01270565361442197
y13,0.012071225142439303
y0,0.01135219757423035
y9,0.010872098516908976
y1,0.008568167417378236
