,precision,recall,f1-score,support
0,0.8,0.5,0.6153846153846154,8.0
1,1.0,1.0,1.0,13.0
2,0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0
3,1.0,1.0,1.0,14.0
4,0.9285714285714286,0.9285714285714286,0.9285714285714286,14.0
5,0.9285714285714286,0.9285714285714286,0.9285714285714286,14.0
6,1.0,1.0,1.0,11.0
7,1.0,1.0,1.0,13.0
8,1.0,0.9230769230769231,0.9600000000000001,13.0
9,1.0,1.0,1.0,14.0
a,1.0,1.0,1.0,5.0
b,1.0,1.0,1.0,13.0
c,0.875,0.7777777777777778,0.823529411764706,9.0
d,1.0,1.0,1.0,14.0
e,1.0,1.0,1.0,6.0
f,1.0,1.0,1.0,14.0
g,0.9230769230769231,1.0,0.9600000000000001,12.0
h,1.0,1.0,1.0,11.0
i,1.0,1.0,1.0,12.0
j,1.0,1.0,1.0,5.0
k,1.0,1.0,1.0,14.0
l,1.0,1.0,1.0,14.0
m,1.0,0.6666666666666666,0.8,3.0
n,0.75,0.75,0.75,4.0
o,0.6,1.0,0.7499999999999999,6.0
p,1.0,0.9090909090909091,0.9523809523809523,11.0
q,0.8,1.0,0.888888888888889,4.0
r,0.9090909090909091,0.9090909090909091,0.9090909090909091,11.0
s,1.0,1.0,1.0,3.0
t,1.0,1.0,1.0,2.0
u,0.8666666666666667,1.0,0.9285714285714286,13.0
v,0.9230769230769231,0.9230769230769231,0.9230769230769231,13.0
w,1.0,1.0,1.0,12.0
x,1.0,1.0,1.0,10.0
y,1.0,1.0,1.0,9.0
z,1.0,1.0,1.0,12.0
accuracy,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9565217391304348
macro avg,0.9503651441151442,0.9458126749793416,0.9441008667692385,368.0
weighted avg,0.96012956699098,0.9565217391304348,0.9559043446761671,368.0
