,precision,recall,f1-score,support
0,0.75,0.375,0.5,8.0
1,1.0,0.9230769230769231,0.9600000000000001,13.0
2,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0
3,1.0,1.0,1.0,14.0
4,0.875,1.0,0.9333333333333333,14.0
5,1.0,0.9285714285714286,0.962962962962963,14.0
6,0.9,0.8181818181818182,0.8571428571428572,11.0
7,1.0,1.0,1.0,13.0
8,1.0,0.9230769230769231,0.9600000000000001,13.0
9,1.0,1.0,1.0,14.0
a,0.8333333333333334,1.0,0.9090909090909091,5.0
b,1.0,0.9230769230769231,0.9600000000000001,13.0
c,0.6,0.6666666666666666,0.631578947368421,9.0
d,1.0,1.0,1.0,14.0
e,0.8571428571428571,1.0,0.923076923076923,6.0
f,1.0,1.0,1.0,14.0
g,0.9230769230769231,1.0,0.9600000000000001,12.0
h,1.0,1.0,1.0,11.0
i,0.9230769230769231,1.0,0.9600000000000001,12.0
j,1.0,0.8,0.888888888888889,5.0
k,1.0,1.0,1.0,14.0
l,1.0,1.0,1.0,14.0
m,1.0,0.6666666666666666,0.8,3.0
n,0.5,0.5,0.5,4.0
o,0.36363636363636365,0.6666666666666666,0.4705882352941177,6.0
p,1.0,0.9090909090909091,0.9523809523809523,11.0
q,1.0,0.75,0.8571428571428571,4.0
r,1.0,0.9090909090909091,0.9523809523809523,11.0
s,1.0,0.6666666666666666,0.8,3.0
t,0.5,0.5,0.5,2.0
u,0.8666666666666667,1.0,0.9285714285714286,13.0
v,0.9230769230769231,0.9230769230769231,0.9230769230769231,13.0
w,0.8461538461538461,0.9166666666666666,0.8799999999999999,12.0
x,1.0,1.0,1.0,10.0
y,1.0,1.0,1.0,9.0
z,1.0,1.0,1.0,12.0
accuracy,0.9239130434782609,0.9239130434782609,0.9239130434782609,0.9239130434782609
macro avg,0.9049397361897361,0.8800622988122988,0.8857467454827276,368.0
weighted avg,0.9337383178415787,0.9239130434782609,0.9247423940096238,368.0
