,precision,recall,f1-score,support
0,0.5,0.375,0.42857142857142855,8.0
1,1.0,0.9230769230769231,0.9600000000000001,13.0
2,0.8888888888888888,0.6666666666666666,0.761904761904762,12.0
3,1.0,0.9285714285714286,0.962962962962963,14.0
4,1.0,1.0,1.0,14.0
5,1.0,1.0,1.0,14.0
6,0.9166666666666666,1.0,0.9565217391304348,11.0
7,1.0,1.0,1.0,13.0
8,1.0,0.8461538461538461,0.9166666666666666,13.0
9,1.0,1.0,1.0,14.0
a,0.8333333333333334,1.0,0.9090909090909091,5.0
b,0.9285714285714286,1.0,0.962962962962963,13.0
c,0.875,0.7777777777777778,0.823529411764706,9.0
d,0.9333333333333333,1.0,0.9655172413793104,14.0
e,1.0,1.0,1.0,6.0
f,1.0,1.0,1.0,14.0
g,0.9230769230769231,1.0,0.9600000000000001,12.0
h,1.0,1.0,1.0,11.0
i,1.0,1.0,1.0,12.0
j,1.0,1.0,1.0,5.0
k,0.9333333333333333,1.0,0.9655172413793104,14.0
l,1.0,0.9285714285714286,0.962962962962963,14.0
m,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
n,0.6666666666666666,0.5,0.5714285714285715,4.0
o,0.6,1.0,0.7499999999999999,6.0
p,1.0,0.9090909090909091,0.9523809523809523,11.0
q,1.0,1.0,1.0,4.0
r,1.0,0.9090909090909091,0.9523809523809523,11.0
s,1.0,0.6666666666666666,0.8,3.0
t,1.0,1.0,1.0,2.0
u,0.9285714285714286,1.0,0.962962962962963,13.0
v,0.75,0.9230769230769231,0.8275862068965517,13.0
w,1.0,1.0,1.0,12.0
x,1.0,1.0,1.0,10.0
y,0.9,1.0,0.9473684210526316,9.0
z,1.0,1.0,1.0,12.0
accuracy,0.9375,0.9375,0.9375,0.9375
macro avg,0.9234474630307964,0.9172336151502818,0.9157495284040473,368.0
weighted avg,0.9409278448001276,0.9375,0.9359363263470428,368.0
