,precision,recall,f1-score,support
0,1.0,1.0,1.0,23.0
1,1.0,0.9722222222222222,0.9859154929577464,36.0
10,1.0,1.0,1.0,38.0
11,1.0,1.0,1.0,37.0
12,1.0,1.0,1.0,40.0
13,1.0,1.0,1.0,40.0
14,1.0,1.0,1.0,40.0
15,1.0,1.0,1.0,40.0
16,1.0,1.0,1.0,39.0
17,0.975,1.0,0.9873417721518987,39.0
18,1.0,0.9,0.9473684210526316,40.0
19,1.0,1.0,1.0,40.0
2,1.0,1.0,1.0,40.0
20,1.0,1.0,1.0,39.0
21,1.0,1.0,1.0,34.0
22,1.0,1.0,1.0,34.0
23,0.9523809523809523,1.0,0.975609756097561,40.0
24,1.0,1.0,1.0,40.0
25,0.9302325581395349,1.0,0.963855421686747,40.0
26,1.0,1.0,1.0,34.0
27,1.0,0.975,0.9873417721518987,40.0
28,1.0,1.0,1.0,33.0
3,1.0,1.0,1.0,40.0
4,1.0,1.0,1.0,40.0
5,1.0,1.0,1.0,37.0
6,1.0,1.0,1.0,40.0
7,1.0,1.0,1.0,35.0
8,1.0,1.0,1.0,37.0
9,1.0,1.0,1.0,36.0
accuracy,0.9945004582951421,0.9945004582951421,0.9945004582951421,0.9945004582951421
macro avg,0.9950901210524306,0.9947318007662835,0.9947390564171891,1091.0
weighted avg,0.9948025118430976,0.9945004582951421,0.9944695707607302,1091.0
