class,rank,feature,coefficient,absolute_coefficient
0,1,x4,2.953006636414417,2.953006636414417
0,2,y4,-2.06254237731898,2.06254237731898
0,3,y11,1.772953919606086,1.772953919606086
0,4,x3,1.3284941852448335,1.3284941852448335
0,5,y6,-1.2555973571855723,1.2555973571855723
1,1,y16,-1.4939704619681358,1.4939704619681358
1,2,y8,-1.485268500116773,1.485268500116773
1,3,x4,1.3320272186221978,1.3320272186221978
1,4,y20,-1.206303840919789,1.206303840919789
1,5,x0,-0.996376004222353,0.996376004222353
10,1,y4,-1.6938898465288055,1.6938898465288055
10,2,x8,1.5221941489330222,1.5221941489330222
10,3,x12,-1.356026263115117,1.356026263115117
10,4,y16,1.3261470260260662,1.3261470260260662
10,5,y12,-1.2948201335743854,1.2948201335743854
11,1,x4,2.403737889148358,2.403737889148358
11,2,x3,1.2838424141061058,1.2838424141061058
11,3,y8,-1.0889509127428216,1.0889509127428216
11,4,y12,1.0060931593231492,1.0060931593231492
11,5,y7,-0.8046779588358131,0.8046779588358131
12,1,y15,-3.130943195329975,3.130943195329975
12,2,y14,-2.9777727388656947,2.9777727388656947
12,3,y8,1.877496956448586,1.877496956448586
12,4,y12,1.85985725933209,1.85985725933209
12,5,x4,-1.7315712096237124,1.7315712096237124
13,1,y11,-2.215349386025274,2.215349386025274
13,2,x4,-2.0341364381129385,2.0341364381129385
13,3,y10,-1.933409152820227,1.933409152820227
13,4,x0,1.727087486133816,1.727087486133816
13,5,y16,1.7227431446440786,1.7227431446440786
14,1,x13,-1.8261702238183763,1.8261702238183763
14,2,x17,-1.6007952262795009,1.6007952262795009
14,3,x20,1.5506464892271585,1.5506464892271585
14,4,x9,-1.4388414239451808,1.4388414239451808
14,5,y0,1.2171236451131253,1.2171236451131253
15,1,x12,1.0786393346162628,1.0786393346162628
15,2,y12,0.9448444627387591,0.9448444627387591
15,3,x11,0.8667777768536187,0.8667777768536187
15,4,x8,0.8160234896200919,0.8160234896200919
