,precision,recall,f1-score,support
0,0.975,0.975,0.975,40.0
1,1.0,1.0,1.0,37.0
10,1.0,1.0,1.0,40.0
11,1.0,1.0,1.0,38.0
12,0.975609756097561,1.0,0.9876543209876543,40.0
13,0.9523809523809523,1.0,0.975609756097561,40.0
14,0.975609756097561,1.0,0.9876543209876543,40.0
15,0.975,0.975,0.975,40.0
16,1.0,0.9743589743589743,0.9870129870129869,39.0
17,1.0,1.0,1.0,39.0
18,1.0,0.975,0.9873417721518987,40.0
19,1.0,0.975,0.9873417721518987,40.0
2,1.0,1.0,1.0,40.0
20,1.0,1.0,1.0,39.0
21,0.972972972972973,0.972972972972973,0.972972972972973,37.0
22,0.9722222222222222,1.0,0.9859154929577464,35.0
23,1.0,0.975,0.9873417721518987,40.0
24,1.0,1.0,1.0,40.0
25,1.0,1.0,1.0,40.0
26,0.9696969696969697,0.9411764705882353,0.955223880597015,34.0
27,0.975609756097561,1.0,0.9876543209876543,40.0
28,0.967741935483871,0.9090909090909091,0.9374999999999999,33.0
3,1.0,1.0,1.0,40.0
4,0.975609756097561,1.0,0.9876543209876543,40.0
5,1.0,1.0,1.0,40.0
6,0.975609756097561,1.0,0.9876543209876543,40.0
7,1.0,0.975,0.9873417721518987,40.0
8,1.0,1.0,1.0,40.0
9,1.0,1.0,1.0,40.0
accuracy,0.9885057471264368,0.9885057471264368,0.9885057471264368,0.9885057471264368
macro avg,0.9883815114911998,0.987848252655555,0.9879956476960052,1131.0
weighted avg,0.9886385039197106,0.9885057471264368,0.9884576469257853,1131.0
