class,feature,coefficient,abs_coefficient
24,theta_1_2_3,16.405008602463717,16.405008602463717
16,theta_6_7_8,15.991330690803492,15.991330690803492
14,theta_1_2_3,15.515640446799488,15.515640446799488
10,theta_0_5_6,14.805586049775766,14.805586049775766
7,theta_9_10_11,14.733446449954087,14.733446449954087
26,theta_0_5_6,-14.61179105986959,14.61179105986959
22,theta_1_2_3,-13.199904431323905,13.199904431323905
12,theta_0_13_14,12.991433428154227,12.991433428154227
20,theta_0_13_14,-12.810920916834121,12.810920916834121
26,theta_9_10_11,-12.310810195252364,12.310810195252364
19,theta_10_11_12,12.162999038150403,12.162999038150403
27,theta_0_17_18,-11.979046182036027,11.979046182036027
23,theta_2_3_4,-11.884893515447791,11.884893515447791
28,theta_0_5_6,-11.714727012326156,11.714727012326156
20,theta_0_9_10,11.60953306191328,11.60953306191328
23,theta_1_2_3,-11.607989281917584,11.607989281917584
22,theta_0_17_18,11.587464096799826,11.587464096799826
13,theta_0_13_14,-11.328221447056315,11.328221447056315
27,theta_0_1_2,11.247322857985148,11.247322857985148
3,theta_5_6_7,10.955522268441047,10.955522268441047
27,theta_0_9_10,-10.946671924620395,10.946671924620395
17,theta_0_9_10,10.929877162080503,10.929877162080503
8,theta_17_18_19,10.72880780208369,10.72880780208369
0,theta_6_7_8,10.511142060318377,10.511142060318377
26,theta_0_1_2,10.45218717956125,10.45218717956125
