class,feature,coefficient,abs_coefficient
0,theta_6_7_8,10.511142060318377,10.511142060318377
0,theta_5_6_7,-10.091488467619145,10.091488467619145
0,theta_10_11_12,-6.333762365364241,6.333762365364241
0,theta_9_10_11,5.887163572197758,5.887163572197758
0,theta_14_15_16,-4.744945700494351,4.744945700494351
0,theta_0_5_6,-4.476499070063955,4.476499070063955
0,theta_2_3_4,4.269517221326256,4.269517221326256
0,theta_13_14_15,3.4443913517200064,3.4443913517200064
0,theta_0_1_2,-2.6543205726206662,2.6543205726206662
0,theta_1_2_3,2.5079961667713264,2.5079961667713264
1,theta_18_19_20,8.847985823061373,8.847985823061373
1,theta_14_15_16,7.660542256269568,7.660542256269568
1,theta_10_11_12,7.342021964197858,7.342021964197858
1,theta_0_1_2,-5.52522357173232,5.52522357173232
1,theta_1_2_3,5.456114016376219,5.456114016376219
1,theta_6_7_8,5.320328704979888,5.320328704979888
1,theta_13_14_15,4.287943338424804,4.287943338424804
1,theta_0_13_14,4.117096538171591,4.117096538171591
1,theta_5_6_7,3.435062210960864,3.435062210960864
1,theta_17_18_19,2.907353071071866,2.907353071071866
10,theta_0_5_6,14.805586049775766,14.805586049775766
10,theta_9_10_11,8.123033803545678,8.123033803545678
10,theta_2_3_4,6.655974118082768,6.655974118082768
10,theta_17_18_19,-5.191795911524982,5.191795911524982
10,theta_1_2_3,5.09783769432453,5.09783769432453
10,theta_13_14_15,-4.087085821288901,4.087085821288901
10,theta_10_11_12,2.9005147999798506,2.9005147999798506
10,theta_18_19_20,2.728317849420433,2.728317849420433
10,theta_0_9_10,2.3577443611305875,2.3577443611305875
10,theta_5_6_7,2.0147832346770382,2.0147832346770382
11,theta_0_13_14,-7.6528559852537015,7.6528559852537015
11,theta_0_17_18,-6.570588158886047,6.570588158886047
11,theta_0_5_6,3.6507781376539765,3.6507781376539765
11,theta_0_9_10,-3.540291118656057,3.540291118656057
11,theta_9_10_11,-3.467214197260847,3.467214197260847
11,theta_5_6_7,3.2851141437362075,3.2851141437362075
11,theta_0_1_2,-2.472770342773518,2.472770342773518
11,theta_17_18_19,-2.4263125882020735,2.4263125882020735
11,theta_13_14_15,-2.261776937280463,2.261776937280463
11,theta_10_11_12,2.1845835576406163,2.1845835576406163
12,theta_0_13_14,12.991433428154227,12.991433428154227
12,theta_0_5_6,8.48334547433384,8.48334547433384
12,theta_0_9_10,-8.034887615568554,8.034887615568554
12,theta_14_15_16,-6.473510676815699,6.473510676815699
12,theta_1_2_3,-6.159136333184054,6.159136333184054
12,theta_9_10_11,-6.070106301052696,6.070106301052696
12,theta_10_11_12,4.60637778210557,4.60637778210557
12,theta_17_18_19,3.7714094245544336,3.7714094245544336
12,theta_5_6_7,-2.3251548208012296,2.3251548208012296
12,theta_0_1_2,-2.2049168037777567,2.2049168037777567
13,theta_0_13_14,-11.328221447056315,11.328221447056315
13,theta_5_6_7,-10.144106234194012,10.144106234194012
13,theta_9_10_11,-9.428283450496004,9.428283450496004
13,theta_0_9_10,8.87225409790236,8.87225409790236
13,theta_1_2_3,-7.588565827667305,7.588565827667305
13,theta_14_15_16,7.13645474581883,7.13645474581883
13,theta_10_11_12,-5.722768010428742,5.722768010428742
13,theta_0_5_6,5.590067097757686,5.590067097757686
