class,feature,coefficient,abs_coefficient
18,d19_20,-1.5670202579355974,1.5670202579355974
18,d15_16,-1.379937055878407,1.379937055878407
0,d10_11,1.3671013686082023,1.3671013686082023
17,d4_6,-1.3217101722241538,1.3217101722241538
18,d4_14,-1.304952147272379,1.304952147272379
18,d11_12,-1.190863767610977,1.190863767610977
0,d6_7,1.1657261591766803,1.1657261591766803
17,d6_10,-1.1638559062803264,1.1638559062803264
19,d4_6,-1.1593512553250445,1.1593512553250445
16,d7_8,1.060888577332772,1.060888577332772
21,d6_10,1.055559147621487,1.055559147621487
25,d4_5,-1.0505085416311948,1.0505085416311948
18,d4_11,-1.0494694948614713,1.0494694948614713
8,d11_12,-1.0368863840078422,1.0368863840078422
16,d6_8,1.027335742296435,1.027335742296435
24,d4_20,1.0232714901781732,1.0232714901781732
21,d14_18,1.0218197416392634,1.0218197416392634
12,d14_18,0.9919223919088604,0.9919223919088604
0,d6_10,-0.9896233123168101,0.9896233123168101
17,d7_10,-0.9757940335182271,0.9757940335182271
21,d14_19,0.9749147080534705,0.9749147080534705
19,d11_12,0.9529004796095085,0.9529004796095085
17,d4_10,-0.9454839989488586,0.9454839989488586
13,d4_14,-0.9432157729301396,0.9432157729301396
18,d5_6,0.9366107704369678,0.9366107704369678
