class,feature,coefficient,abs_coefficient
20,theta_2_3_4,-0.5644182100264857,0.5644182100264857
21,x11_scale,-0.5146457231426267,0.5146457231426267
21,x10_scale,-0.49654699634996335,0.49654699634996335
17,x8_scale,-0.4680585888584412,0.4680585888584412
21,x3_scale,-0.42919944524433895,0.42919944524433895
23,theta_2_3_4,-0.41337254416611086,0.41337254416611086
20,norm_d14_18,-0.4065568847824893,0.4065568847824893
18,norm_d19_20,-0.4064973917617765,0.4064973917617765
21,x12_scale,-0.40531242418520563,0.40531242418520563
21,norm_d4_16,-0.40458031358562796,0.40458031358562796
18,norm_d15_16,-0.40205950819233865,0.40205950819233865
21,x4_scale,-0.39403162667237235,0.39403162667237235
12,norm_d14_18,0.3934773172870244,0.3934773172870244
24,x20_scale,-0.3807290594748873,0.3807290594748873
0,norm_d10_11,0.3803974728057287,0.3803974728057287
18,norm_d11_12,-0.3786160219314514,0.3786160219314514
17,x10_scale,0.37155276830837863,0.37155276830837863
0,norm_d6_7,0.34698967876536535,0.34698967876536535
18,norm_d4_14,-0.34601749915276453,0.34601749915276453
25,norm_d4_5,-0.3440168673689178,0.3440168673689178
20,x15_scale,0.34315534198960057,0.34315534198960057
10,theta_2_3_4,0.33693928268486645,0.33693928268486645
24,theta_0_5_6,0.3343237852066436,0.3343237852066436
18,norm_d4_11,-0.33221752802054644,0.33221752802054644
23,x0_scale,0.33216106070568535,0.33216106070568535
