,precision,recall,f1-score,support
0,1.0,1.0,1.0,40.0
1,1.0,1.0,1.0,37.0
10,1.0,1.0,1.0,40.0
11,1.0,1.0,1.0,38.0
12,1.0,1.0,1.0,40.0
13,1.0,1.0,1.0,40.0
14,1.0,1.0,1.0,40.0
15,1.0,1.0,1.0,40.0
16,1.0,1.0,1.0,39.0
17,1.0,1.0,1.0,39.0
18,1.0,1.0,1.0,40.0
19,1.0,1.0,1.0,40.0
2,1.0,1.0,1.0,40.0
20,1.0,0.9487179487179487,0.9736842105263158,39.0
21,0.9487179487179487,1.0,0.9736842105263158,37.0
22,1.0,1.0,1.0,35.0
23,1.0,1.0,1.0,40.0
24,1.0,1.0,1.0,40.0
25,1.0,1.0,1.0,40.0
26,1.0,1.0,1.0,34.0
27,1.0,1.0,1.0,40.0
28,1.0,1.0,1.0,33.0
3,1.0,1.0,1.0,40.0
4,1.0,1.0,1.0,40.0
5,1.0,1.0,1.0,40.0
6,1.0,1.0,1.0,40.0
7,1.0,1.0,1.0,40.0
8,1.0,1.0,1.0,40.0
9,1.0,1.0,1.0,40.0
accuracy,0.9982316534040672,0.9982316534040672,0.9982316534040672,0.9982316534040672
macro avg,0.9982316534040672,0.9982316534040672,0.9981851179673321,1131.0
weighted avg,0.9983223378448841,0.9982316534040672,0.9982316534040672,1131.0
