,precision,recall,f1-score,support
0,1.0,1.0,1.0,40.0
1,0.9736842105263158,1.0,0.9866666666666666,37.0
10,1.0,1.0,1.0,40.0
11,1.0,1.0,1.0,38.0
12,1.0,1.0,1.0,40.0
13,1.0,1.0,1.0,40.0
14,1.0,1.0,1.0,40.0
15,1.0,1.0,1.0,40.0
16,1.0,1.0,1.0,39.0
17,1.0,1.0,1.0,39.0
18,1.0,1.0,1.0,40.0
19,1.0,1.0,1.0,40.0
2,1.0,1.0,1.0,40.0
20,1.0,0.9487179487179487,0.9736842105263158,39.0
21,0.9487179487179487,1.0,0.9736842105263158,37.0
22,1.0,1.0,1.0,35.0
23,1.0,1.0,1.0,40.0
24,1.0,1.0,1.0,40.0
25,1.0,1.0,1.0,40.0
26,1.0,1.0,1.0,34.0
27,1.0,1.0,1.0,40.0
28,1.0,0.9696969696969697,0.9846153846153847,33.0
3,1.0,1.0,1.0,40.0
4,1.0,1.0,1.0,40.0
5,1.0,1.0,1.0,40.0
6,1.0,1.0,1.0,40.0
7,1.0,1.0,1.0,40.0
8,1.0,1.0,1.0,40.0
9,1.0,1.0,1.0,40.0
accuracy,0.9973474801061007,0.9973474801061007,0.9973474801061007,0.9973474801061007
macro avg,0.9973242123877333,0.9971867213246524,0.9971948438736098,1131.0
weighted avg,0.9974614322652854,0.9973474801061007,0.9973465732616927,1131.0
