class,feature,coefficient,abs_coefficient
0,x4,9.703083579808558,9.703083579808558
18,x4,-8.780630224995095,8.780630224995095
12,y15,-8.456318553771435,8.456318553771435
12,y14,-7.839363070954586,7.839363070954586
19,y4,-7.043555675826405,7.043555675826405
13,y10,-6.8675177161440235,6.8675177161440235
19,y16,6.387888778078125,6.387888778078125
24,x4,6.301169377488876,6.301169377488876
8,y20,-6.248462120690949,6.248462120690949
21,x8,6.238030347827885,6.238030347827885
12,y12,6.0464774835584825,6.0464774835584825
18,y16,-5.923119746931304,5.923119746931304
8,y4,-5.918721469368212,5.918721469368212
12,y8,5.8517587345526225,5.8517587345526225
13,y16,5.735147618823979,5.735147618823979
17,x8,-5.707080002507176,5.707080002507176
13,x4,-5.67947131404426,5.67947131404426
13,y8,5.567844745140766,5.567844745140766
0,x20,-5.290316643039397,5.290316643039397
13,y11,-5.220571500920854,5.220571500920854
18,y11,5.2199931026917215,5.2199931026917215
5,y16,-5.204858275169933,5.204858275169933
19,y12,5.19639731303632,5.19639731303632
18,y6,-5.193195547756821,5.193195547756821
22,y16,-5.15527719583591,5.15527719583591
