class,feature,coefficient,abs_coefficient
0,x4,9.703083579808558,9.703083579808558
0,x20,-5.290316643039397,5.290316643039397
0,y4,-5.101954222172365,5.101954222172365
0,y20,4.411111976910685,4.411111976910685
0,x6,-3.6468346140117207,3.6468346140117207
0,x7,-3.4576133227706265,3.4576133227706265
0,y17,-3.3911860851668134,3.3911860851668134
0,x14,3.1838886514103986,3.1838886514103986
0,x2,-3.167845239030174,3.167845239030174
0,y12,-3.1090946836221725,3.1090946836221725
1,y20,-4.1636534314353035,4.1636534314353035
1,y16,-3.7991112502353706,3.7991112502353706
1,y8,-3.7434239347716827,3.7434239347716827
1,y12,-2.6423568541124043,2.6423568541124043
1,y9,2.5381438998713985,2.5381438998713985
1,y19,-2.4669939975985407,2.4669939975985407
1,y10,2.0411756200272166,2.0411756200272166
1,y5,1.9539999223293727,1.9539999223293727
1,y7,-1.8941437375855215,1.8941437375855215
1,y13,1.7958924006768113,1.7958924006768113
10,y12,-4.852878490608076,4.852878490608076
10,x8,3.627127919393555,3.627127919393555
10,y11,-3.3418794046623845,3.3418794046623845
10,y4,-2.687444259959671,2.687444259959671
10,x11,-2.6707792058184743,2.6707792058184743
10,x12,-2.5242244310487307,2.5242244310487307
10,x7,2.332316877975801,2.332316877975801
10,x10,-2.157999218363246,2.157999218363246
10,x4,2.075561956960398,2.075561956960398
10,y16,1.9726567707187008,1.9726567707187008
11,x4,5.042724264737753,5.042724264737753
11,x3,2.56941336271109,2.56941336271109
11,y8,-1.846733878853658,1.846733878853658
11,y4,1.4621205355538003,1.4621205355538003
11,y7,-1.4538668326111015,1.4538668326111015
11,y12,1.3149357619166426,1.3149357619166426
11,x17,-1.2616758732093345,1.2616758732093345
11,y3,1.2366042985183252,1.2366042985183252
11,y16,1.1966745496389684,1.1966745496389684
11,x13,-1.1479150409977372,1.1479150409977372
12,y15,-8.456318553771435,8.456318553771435
12,y14,-7.839363070954586,7.839363070954586
12,y12,6.0464774835584825,6.0464774835584825
12,y8,5.8517587345526225,5.8517587345526225
12,y20,5.029421717270588,5.029421717270588
12,x3,-4.717944147227898,4.717944147227898
12,x4,-3.7173151497856565,3.7173151497856565
12,y16,-3.3450206446305555,3.3450206446305555
12,x10,3.2036608279382044,3.2036608279382044
12,x11,2.484037281523495,2.484037281523495
13,y10,-6.8675177161440235,6.8675177161440235
13,y16,5.735147618823979,5.735147618823979
13,x4,-5.67947131404426,5.67947131404426
13,y8,5.567844745140766,5.567844745140766
13,y11,-5.220571500920854,5.220571500920854
13,y15,3.1943595893019627,3.1943595893019627
13,y2,-3.0059637164650845,3.0059637164650845
13,x13,-2.8968855620955485,2.8968855620955485
13,x17,-2.867199046230948,2.867199046230948
13,x3,-2.7972883590495377,2.7972883590495377
14,x20,3.562233603612803,3.562233603612803
14,y4,-3.5478152203951248,3.5478152203951248
14,y3,-2.5214120102763857,2.5214120102763857
14,x19,2.217580883580303,2.217580883580303
14,x16,1.9073749500895842,1.9073749500895842
14,y0,1.9057554347671655,1.9057554347671655
14,x6,-1.5700814386584105,1.5700814386584105
14,y2,-1.2681579511196155,1.2681579511196155
14,y11,-1.2445277805795205,1.2445277805795205
14,x15,1.177523617929005,1.177523617929005
15,y4,-2.5176196763127967,2.5176196763127967
15,y12,2.274528576639156,2.274528576639156
15,y0,-2.125019635358802,2.125019635358802
15,y11,2.0555551410332837,2.0555551410332837
15,x13,-1.7138305700039203,1.7138305700039203
15,x12,1.6728352309434287,1.6728352309434287
15,y10,1.5772556315065493,1.5772556315065493
15,y3,-1.570011078395576,1.570011078395576
15,y18,1.5649771331486038,1.5649771331486038
15,x17,-1.521993297361435,1.521993297361435
16,y5,-2.1538221121395074,2.1538221121395074
16,y9,-1.883498795643923,1.883498795643923
16,y8,1.8569394719694405,1.8569394719694405
16,y12,1.8323226645439934,1.8323226645439934
16,y1,-1.7818549502432108,1.7818549502432108
16,y0,-1.7621669662654782,1.7621669662654782
16,y11,1.6214828015901617,1.6214828015901617
16,y2,-1.4273047756378874,1.4273047756378874
16,y13,-1.4253058608048046,1.4253058608048046
16,y7,1.3539819585525452,1.3539819585525452
17,x8,-5.707080002507176,5.707080002507176
17,x7,-4.482654623734599,4.482654623734599
17,y4,-4.121435008657908,4.121435008657908
17,y2,3.490025137509112,3.490025137509112
17,y12,-3.281891501240688,3.281891501240688
17,y1,2.984552552406211,2.984552552406211
17,y8,-2.5184617695424856,2.5184617695424856
17,x13,2.412873759628865,2.412873759628865
17,x10,2.394151453098986,2.394151453098986
17,y5,2.2910696928667016,2.2910696928667016
18,x4,-8.780630224995095,8.780630224995095
18,y16,-5.923119746931304,5.923119746931304
18,y11,5.2199931026917215,5.2199931026917215
18,y6,-5.193195547756821,5.193195547756821
18,y3,-4.680534736245731,4.680534736245731
18,x20,-3.989208293062746,3.989208293062746
18,y20,-3.817079018720086,3.817079018720086
18,x5,3.5110768801079204,3.5110768801079204
18,x6,3.220252839610395,3.220252839610395
18,y5,3.1691915467300706,3.1691915467300706
19,y4,-7.043555675826405,7.043555675826405
19,y16,6.387888778078125,6.387888778078125
19,y12,5.19639731303632,5.19639731303632
19,y0,-4.144248885466728,4.144248885466728
19,y3,-3.7292643466896185,3.7292643466896185
19,y20,3.6635506897876122,3.6635506897876122
19,x0,-3.140447603184022,3.140447603184022
19,y8,2.972572834869907,2.972572834869907
19,y7,-2.6984127243922953,2.6984127243922953
19,y15,2.508154203977037,2.508154203977037
2,y3,4.642307498308964,4.642307498308964
2,y4,3.625248338319668,3.625248338319668
2,x4,3.0374408600614196,3.0374408600614196
2,y19,-2.4864263421774266,2.4864263421774266
2,x1,-2.481274401681208,2.481274401681208
2,y2,2.381582698022958,2.381582698022958
2,y18,-2.2703454069750157,2.2703454069750157
2,y15,-2.2388990752207394,2.2388990752207394
2,y16,-2.148651936315555,2.148651936315555
2,x0,-2.118957320564362,2.118957320564362
20,y14,4.30879590804541,4.30879590804541
20,x4,-3.7290574006522204,3.7290574006522204
20,y12,-3.618834031529257,3.618834031529257
20,y15,3.4171175337284496,3.4171175337284496
20,y4,3.2838330555756996,3.2838330555756996
20,x15,2.889844896902432,2.889844896902432
20,y11,-2.664444852734683,2.664444852734683
20,x14,2.5332185274336934,2.5332185274336934
20,y16,2.516381618800757,2.516381618800757
20,x12,2.1273322191465063,2.1273322191465063
21,x8,6.238030347827885,6.238030347827885
21,x7,4.621674119412589,4.621674119412589
21,x4,-4.313405920550171,4.313405920550171
21,y3,3.4214714978258574,3.4214714978258574
21,x3,-3.353157669978734,3.353157669978734
21,y20,3.2244365161629234,3.2244365161629234
21,x6,2.9175314856275563,2.9175314856275563
21,x20,2.7209297112861575,2.7209297112861575
21,y0,-2.636926677494467,2.636926677494467
21,y14,-2.5767193924885703,2.5767193924885703
22,y16,-5.15527719583591,5.15527719583591
22,y4,3.3938470022440193,3.3938470022440193
22,y3,3.296548431664928,3.296548431664928
22,y15,-2.978600691134797,2.978600691134797
22,x16,-2.7845730591699738,2.7845730591699738
22,y2,2.597063771290005,2.597063771290005
22,x15,-2.2959436830595057,2.2959436830595057
22,x8,1.7091704544284707,1.7091704544284707
22,y1,1.695408221708421,1.695408221708421
22,x14,-1.6620384559883112,1.6620384559883112
23,y4,5.015805506673356,5.015805506673356
23,x0,4.7898272497275025,4.7898272497275025
23,x4,-4.421089436464368,4.421089436464368
23,y0,3.5965862147116976,3.5965862147116976
