class,feature,coefficient,abs_coefficient
0,x4,8.325168488086087,8.325168488086087
18,x4,-6.935158230077125,6.935158230077125
12,y15,-5.546738533008472,5.546738533008472
21,x8,5.489585145807853,5.489585145807853
17,x8,-5.051242166919682,5.051242166919682
12,y14,-4.990245764183699,4.990245764183699
8,y20,-4.9664742190173365,4.9664742190173365
13,y10,-4.9454677170757995,4.9454677170757995
24,x4,4.91804882832585,4.91804882832585
13,x4,-4.731227227984587,4.731227227984587
8,y4,-4.655861993907135,4.655861993907135
19,y4,-4.644794080513582,4.644794080513582
12,z20,-4.556173748042275,4.556173748042275
18,y16,-4.4739052650051505,4.4739052650051505
19,y16,4.439132906863723,4.439132906863723
0,y4,-4.368276989403334,4.368276989403334
11,x4,4.285401593732286,4.285401593732286
5,y16,-4.251468542054126,4.251468542054126
12,y12,4.21347561561082,4.21347561561082
13,y8,4.206459835914497,4.206459835914497
17,x7,-4.054702495037262,4.054702495037262
12,y8,4.046909059182291,4.046909059182291
20,y14,4.013722868165813,4.013722868165813
19,z17,3.997112923807216,3.997112923807216
13,y16,3.9739143790144555,3.9739143790144555
