class,feature,coefficient,abs_coefficient
0,x4,8.325168488086087,8.325168488086087
0,y4,-4.368276989403334,4.368276989403334
0,y20,3.95687276592529,3.95687276592529
0,x20,-3.6882235116991597,3.6882235116991597
0,y12,-3.0637983633768,3.0637983633768
0,z16,2.923651390899639,2.923651390899639
0,x7,-2.923018221677131,2.923018221677131
0,y16,-2.904798168941487,2.904798168941487
0,x6,-2.9021190357860354,2.9021190357860354
0,x10,2.794212384998949,2.794212384998949
1,y8,-3.4679766712209843,3.4679766712209843
1,y16,-3.158220558112957,3.158220558112957
1,y20,-3.031620112926686,3.031620112926686
1,y12,-2.740507168816593,2.740507168816593
1,x4,2.31712981856001,2.31712981856001
1,y9,1.938367437810665,1.938367437810665
1,y5,1.6375342511759583,1.6375342511759583
1,y7,-1.622579479814189,1.622579479814189
1,y19,-1.5711816040568116,1.5711816040568116
1,z1,-1.5297401328305291,1.5297401328305291
10,y12,-3.4169545886678647,3.4169545886678647
10,x8,3.1099300299102306,3.1099300299102306
10,y4,-2.576117319957759,2.576117319957759
10,y11,-2.4645217702890947,2.4645217702890947
10,x7,2.1627975094803658,2.1627975094803658
10,x11,-1.9686882739326943,1.9686882739326943
10,x4,1.9055512649190824,1.9055512649190824
10,x12,-1.8290244305076895,1.8290244305076895
10,y3,-1.707372721739482,1.707372721739482
10,x10,-1.6798750427431541,1.6798750427431541
11,x4,4.285401593732286,4.285401593732286
11,x3,2.0007652729468672,2.0007652729468672
11,y12,1.285977647281647,1.285977647281647
11,y16,1.151325310662282,1.151325310662282
11,y4,1.114059415399948,1.114059415399948
11,y8,-1.0679530342991248,1.0679530342991248
11,x12,-0.9476027207733374,0.9476027207733374
11,y11,0.8935064856734685,0.8935064856734685
11,y3,0.8360927279861958,0.8360927279861958
11,y7,-0.8059887818536909,0.8059887818536909
12,y15,-5.546738533008472,5.546738533008472
12,y14,-4.990245764183699,4.990245764183699
12,z20,-4.556173748042275,4.556173748042275
12,y12,4.21347561561082,4.21347561561082
12,y8,4.046909059182291,4.046909059182291
12,x3,-3.956002513022231,3.956002513022231
12,x4,-3.820182138045864,3.820182138045864
12,z0,-2.6186862666270905,2.6186862666270905
12,y20,2.5604239614453745,2.5604239614453745
12,y16,-2.524300652312849,2.524300652312849
13,y10,-4.9454677170757995,4.9454677170757995
13,x4,-4.731227227984587,4.731227227984587
13,y8,4.206459835914497,4.206459835914497
13,y16,3.9739143790144555,3.9739143790144555
13,y11,-3.6811229981128095,3.6811229981128095
13,z20,2.936644331733697,2.936644331733697
13,y2,-2.513910099679609,2.513910099679609
13,x3,-2.4982000083839253,2.4982000083839253
13,z1,2.3154184431399303,2.3154184431399303
13,y15,2.163739013841424,2.163739013841424
14,y4,-2.00100329826646,2.00100329826646
14,z1,1.795099210311038,1.795099210311038
14,y3,-1.7174084597041481,1.7174084597041481
14,z20,-1.7149007420176037,1.7149007420176037
14,z5,1.5631846899783894,1.5631846899783894
14,x20,1.4781642612917893,1.4781642612917893
14,z2,1.45039169686513,1.45039169686513
14,z9,1.183100013089094,1.183100013089094
14,y11,-1.0697624572123485,1.0697624572123485
14,x19,1.0635977811089798,1.0635977811089798
15,z0,2.0992757182697317,2.0992757182697317
15,y4,-1.8066962411522376,1.8066962411522376
15,y3,-1.3370824202176954,1.3370824202176954
15,y0,-1.0968494423991695,1.0968494423991695
15,z17,-1.0268985904432884,1.0268985904432884
15,y18,0.9915417063639743,0.9915417063639743
15,y12,0.9640466108014478,0.9640466108014478
15,y11,0.9464607988714457,0.9464607988714457
15,z1,0.924449467181764,0.924449467181764
15,z13,-0.920732891766515,0.920732891766515
16,y8,1.7633999521217654,1.7633999521217654
16,y0,-1.4794596586511826,1.4794596586511826
16,y1,-1.450299974712259,1.450299974712259
16,y7,1.4212723454132996,1.4212723454132996
16,y2,-1.00601462825504,1.00601462825504
16,y5,-0.9906077257371105,0.9906077257371105
16,y9,-0.9565499974102276,0.9565499974102276
16,y11,0.9467937239858246,0.9467937239858246
16,y12,0.9276266066390799,0.9276266066390799
16,y13,-0.8981301354381706,0.8981301354381706
17,x8,-5.051242166919682,5.051242166919682
17,x7,-4.054702495037262,4.054702495037262
17,y4,-3.4910959642795802,3.4910959642795802
17,y12,-2.7696649649517955,2.7696649649517955
17,x6,-2.282551233975023,2.282551233975023
17,y5,2.280710291803692,2.280710291803692
17,y2,2.223785778380299,2.223785778380299
17,y1,2.0786689005008925,2.0786689005008925
17,x17,2.010831627313863,2.010831627313863
17,x13,2.010373824934609,2.010373824934609
18,x4,-6.935158230077125,6.935158230077125
18,y16,-4.4739052650051505,4.4739052650051505
18,z20,3.738712126374276,3.738712126374276
18,y12,-3.4500981637744306,3.4500981637744306
18,x6,3.445944423856038,3.445944423856038
18,y20,-3.3116132827354403,3.3116132827354403
18,y5,3.251214271747447,3.251214271747447
18,x5,3.0939723483246433,3.0939723483246433
18,z19,3.0918611560249887,3.0918611560249887
18,z17,-2.9677327725192675,2.9677327725192675
19,y4,-4.644794080513582,4.644794080513582
19,y16,4.439132906863723,4.439132906863723
19,z17,3.997112923807216,3.997112923807216
19,y12,3.706692171460577,3.706692171460577
19,z13,2.935923188886755,2.935923188886755
19,y20,2.811108800061417,2.811108800061417
19,z4,2.746280845487022,2.746280845487022
19,y3,-2.7388837466754077,2.7388837466754077
19,y0,-2.652114746315962,2.652114746315962
19,x0,-2.5747597484496634,2.5747597484496634
2,y3,3.1942010330645334,3.1942010330645334
2,y4,2.8955551430830013,2.8955551430830013
2,x0,-2.5651331970316513,2.5651331970316513
2,x4,2.018205149979856,2.018205149979856
2,x1,-2.0055262205167304,2.0055262205167304
2,y2,1.9368206635477412,1.9368206635477412
2,y18,-1.8119941883298518,1.8119941883298518
2,y19,-1.677143822229424,1.677143822229424
2,z0,1.4651359331992913,1.4651359331992913
2,y15,-1.4563739394459263,1.4563739394459263
20,y14,4.013722868165813,4.013722868165813
20,y15,3.5170932460257136,3.5170932460257136
20,z16,-3.0435394613054387,3.0435394613054387
20,x4,-2.9368871580570906,2.9368871580570906
20,y4,2.7723710051210597,2.7723710051210597
20,y16,2.7523026875765235,2.7523026875765235
20,x15,2.576666887960261,2.576666887960261
20,z15,-2.5384734496455224,2.5384734496455224
20,y12,-2.4111111195621953,2.4111111195621953
20,x16,2.24967724617124,2.24967724617124
21,x8,5.489585145807853,5.489585145807853
21,x7,3.7400069956819104,3.7400069956819104
21,x4,-3.2805561016127633,3.2805561016127633
21,x3,-2.7017909891892895,2.7017909891892895
21,z20,-2.6402989319783092,2.6402989319783092
21,x20,2.472839698000951,2.472839698000951
21,x11,-2.3847290399064107,2.3847290399064107
21,x16,2.2719743573875624,2.2719743573875624
21,z19,-2.2142840282191205,2.2142840282191205
21,x10,-2.1745737209729277,2.1745737209729277
22,y16,-3.4037435691249196,3.4037435691249196
22,y4,2.724820232089652,2.724820232089652
22,y3,2.712084915900686,2.712084915900686
22,y15,-2.21599563046693,2.21599563046693
22,y2,2.13200648301014,2.13200648301014
22,z1,-1.9395078808731965,1.9395078808731965
22,x16,-1.6504871281866644,1.6504871281866644
22,z16,-1.5463353093919616,1.5463353093919616
22,z5,-1.4436329256113856,1.4436329256113856
22,z2,-1.369002068961562,1.369002068961562
23,y4,3.698782360467025,3.698782360467025
23,y0,3.42027855984007,3.42027855984007
23,x4,-3.4155585701271676,3.4155585701271676
23,x0,3.104945825843012,3.104945825843012
23,y8,-2.9798922666071563,2.9798922666071563
23,z6,2.9082985107540846,2.9082985107540846
23,z5,2.7611704621802144,2.7611704621802144
23,x1,2.604828314950266,2.604828314950266
23,y17,2.544459437598101,2.544459437598101
23,x18,-2.459691311593668,2.459691311593668
24,x4,4.91804882832585,4.91804882832585
24,x20,-3.9061988243761925,3.9061988243761925
24,x3,3.629568719015898,3.629568719015898
24,y20,-3.4228157279430875,3.4228157279430875
24,x19,-3.0998224862202246,3.0998224862202246
24,y19,-2.2214195061700783,2.2214195061700783
24,y8,1.8148904089308382,1.8148904089308382
24,y12,1.7723586008542347,1.7723586008542347
24,x18,-1.7117473516704373,1.7117473516704373
24,x0,1.6804275481138886,1.6804275481138886
25,y8,-3.7831158813107293,3.7831158813107293
25,y12,3.298742261672391,3.298742261672391
25,x4,-3.0671363559274076,3.0671363559274076
25,y11,2.0911060807589688,2.0911060807589688
25,y18,-1.9925932615967046,1.9925932615967046
25,y7,-1.9231423569794022,1.9231423569794022
25,x15,1.7535084511164132,1.7535084511164132
25,y2,1.6189428157889796,1.6189428157889796
25,y19,-1.5723059327909452,1.5723059327909452
25,x11,1.4162676875580211,1.4162676875580211
26,y4,-1.8614715259437509,1.8614715259437509
26,y10,1.5054323829887326,1.5054323829887326
26,y3,-1.4341902529576567,1.4341902529576567
26,y14,1.391355729818076,1.391355729818076
26,y11,1.3705716604435378,1.3705716604435378
26,y7,1.3331772836774851,1.3331772836774851
26,y18,1.251440911409491,1.251440911409491
26,y15,1.2006255995406947,1.2006255995406947
26,x14,1.1415407491119478,1.1415407491119478
26,y6,1.0417033023913087,1.0417033023913087
27,y4,1.5823911169370422,1.5823911169370422
27,y17,-1.3937278813027623,1.3937278813027623
27,x17,1.2067261453155824,1.2067261453155824
27,y0,-1.116046776408909,1.116046776408909
27,x13,1.1132041964950823,1.1132041964950823
27,y13,-1.0901686386209257,1.0901686386209257
27,y3,1.0819524709733326,1.0819524709733326
27,x1,-0.9221368563332186,0.9221368563332186
