class,feature,coefficient,abs_coefficient
21,x4_scale,-4.5032638345812845,4.5032638345812845
12,y15_scale,-4.441976508871586,4.441976508871586
22,y16_scale,-4.4009554144725795,4.4009554144725795
12,y14_scale,-3.6805802169379414,3.6805802169379414
19,y4_scale,-3.5650309815559402,3.5650309815559402
23,x0_scale,3.5469991353768378,3.5469991353768378
0,x4_scale,3.488835632169756,3.488835632169756
13,y11_scale,-3.3845046999574255,3.3845046999574255
10,y16_scale,3.3647136980207306,3.3647136980207306
13,y10_scale,-3.289933227761859,3.289933227761859
21,x3_scale,-3.23707282084693,3.23707282084693
5,y8_scale,3.1767078953933745,3.1767078953933745
24,x20_scale,-3.1503337961912825,3.1503337961912825
8,x20_scale,3.086162529805148,3.086162529805148
19,y16_scale,2.9542496048187594,2.9542496048187594
22,x16_scale,-2.895825851229603,2.895825851229603
18,y6_scale,-2.7645803687279624,2.7645803687279624
22,y15_scale,-2.74504400551204,2.74504400551204
12,x10_scale,2.7439830429282606,2.7439830429282606
8,y20_scale,-2.7371616973894106,2.7371616973894106
23,y4_scale,2.6870941664205823,2.6870941664205823
17,x8_scale,-2.66157494166066,2.66157494166066
12,y12_scale,2.641582882439884,2.641582882439884
5,y16_scale,-2.60616405985971,2.60616405985971
23,y8_scale,-2.5839512339210176,2.5839512339210176
