class,feature,coefficient,abs_coefficient
0,x4_scale,3.488835632169756,3.488835632169756
0,x20_scale,-2.4522167238839008,2.4522167238839008
0,y4_scale,-2.411326248976126,2.411326248976126
0,y12_scale,-2.0234574395520233,2.0234574395520233
0,x10_scale,1.8976516848726068,1.8976516848726068
0,y17_scale,-1.8519201585918061,1.8519201585918061
0,x13_scale,1.8068201064403586,1.8068201064403586
0,y16_scale,-1.6706763218032499,1.6706763218032499
0,y7_scale,1.6171086069694465,1.6171086069694465
0,x7_scale,-1.6119156026574517,1.6119156026574517
1,y8_scale,-2.5698862419958406,2.5698862419958406
1,y20_scale,-1.9939311943691234,1.9939311943691234
1,y16_scale,-1.8335531795910371,1.8335531795910371
1,y12_scale,-1.552613637076194,1.552613637076194
1,x12_scale,-1.5516758620806674,1.5516758620806674
1,y5_scale,1.2857961104252313,1.2857961104252313
1,y19_scale,-1.2565326580234257,1.2565326580234257
1,x0_scale,-1.1622691347658882,1.1622691347658882
1,y7_scale,-1.0983546617430562,1.0983546617430562
1,y10_scale,1.057746026605951,1.057746026605951
10,y16_scale,3.3647136980207306,3.3647136980207306
10,y15_scale,2.4711458588805844,2.4711458588805844
10,x8_scale,2.3824587448365957,2.3824587448365957
10,y4_scale,-2.185740303592991,2.185740303592991
10,x4_scale,2.1676908650791997,2.1676908650791997
10,y12_scale,-2.1131437567360187,2.1131437567360187
10,y3_scale,-1.8428439691998475,1.8428439691998475
10,x11_scale,-1.4906627833190775,1.4906627833190775
10,y11_scale,-1.4135470102564192,1.4135470102564192
10,x12_scale,-1.4018508341668154,1.4018508341668154
11,x4_scale,1.1295780399472621,1.1295780399472621
11,x2_scale,-1.0962933695025603,1.0962933695025603
11,y12_scale,1.0557313482921917,1.0557313482921917
11,y16_scale,1.0081364340209922,1.0081364340209922
11,x1_scale,-0.9828388455642311,0.9828388455642311
11,y11_scale,0.9082155898261254,0.9082155898261254
11,y15_scale,0.8469205286302416,0.8469205286302416
11,x12_scale,-0.845947070360791,0.845947070360791
11,x11_scale,-0.8281428592964739,0.8281428592964739
11,x5_scale,-0.7900290238665548,0.7900290238665548
12,y15_scale,-4.441976508871586,4.441976508871586
12,y14_scale,-3.6805802169379414,3.6805802169379414
12,x10_scale,2.7439830429282606,2.7439830429282606
12,y12_scale,2.641582882439884,2.641582882439884
12,y16_scale,-2.5555524934713527,2.5555524934713527
12,x11_scale,2.420818626901719,2.420818626901719
12,y8_scale,2.1029192720872767,2.1029192720872767
12,y20_scale,1.6091112441958573,1.6091112441958573
12,x8_scale,1.4016249017354527,1.4016249017354527
12,x12_scale,1.35536882613888,1.35536882613888
13,y11_scale,-3.3845046999574255,3.3845046999574255
13,y10_scale,-3.289933227761859,3.289933227761859
13,y8_scale,2.2534436988833906,2.2534436988833906
13,y16_scale,2.1465416762276845,2.1465416762276845
