class,feature,coefficient,abs_coefficient
12,y15_trans,-8.673282228846173,8.673282228846173
12,y14_trans,-8.112605027227811,8.112605027227811
18,x4_trans,-7.622250197210315,7.622250197210315
0,x4_trans,7.176355264513669,7.176355264513669
18,y6_trans,-6.734306108359346,6.734306108359346
19,y4_trans,-6.512869749263434,6.512869749263434
17,x8_trans,-6.498468793858819,6.498468793858819
20,y14_trans,6.461082385505943,6.461082385505943
13,y11_trans,-6.457411178848441,6.457411178848441
23,y8_trans,-6.4308710990278355,6.4308710990278355
19,y16_trans,6.38255339313199,6.38255339313199
11,x4_trans,6.1089027572091466,6.1089027572091466
24,x4_trans,5.88423980423431,5.88423980423431
12,y12_trans,5.764662537604784,5.764662537604784
21,x8_trans,5.437485236102628,5.437485236102628
21,x4_trans,-5.436272773473285,5.436272773473285
24,x20_trans,-5.435838295340915,5.435838295340915
13,y10_trans,-5.340853246676222,5.340853246676222
20,x4_trans,-5.253959215861745,5.253959215861745
0,y4_trans,-5.2178687788911144,5.2178687788911144
22,x16_trans,-5.190636162481904,5.190636162481904
8,x16_trans,-5.142708781557171,5.142708781557171
17,x7_trans,-5.1389010543257525,5.1389010543257525
24,x3_trans,5.12680573973951,5.12680573973951
19,y12_trans,5.117728084262541,5.117728084262541
