class,feature,coefficient,abs_coefficient
0,x4_trans,7.176355264513669,7.176355264513669
0,y4_trans,-5.2178687788911144,5.2178687788911144
0,y12_trans,-4.164184314134768,4.164184314134768
0,y11_trans,4.1346988951396355,4.1346988951396355
0,x13_trans,3.695806666195374,3.695806666195374
0,x20_trans,-3.612403678047017,3.612403678047017
0,y7_trans,3.464382326737091,3.464382326737091
0,x6_trans,-3.160897216708935,3.160897216708935
0,x14_trans,3.106566021676231,3.106566021676231
0,y17_trans,-3.0410081282491053,3.0410081282491053
1,y20_trans,-3.773809133364776,3.773809133364776
1,y16_trans,-3.1185238173716714,3.1185238173716714
1,y8_trans,-2.773292442533185,2.773292442533185
1,y9_trans,2.478762037756372,2.478762037756372
1,y12_trans,-2.4622008940557945,2.4622008940557945
1,y5_trans,2.4454377475093083,2.4454377475093083
1,y1_trans,2.3420632359757345,2.3420632359757345
1,y19_trans,-2.225734537932809,2.225734537932809
1,y0_trans,2.1702924139287036,2.1702924139287036
1,y2_trans,2.0336007594554064,2.0336007594554064
10,y16_trans,4.307715389541539,4.307715389541539
10,y4_trans,-3.999824400507753,3.999824400507753
10,x8_trans,3.5441440689621677,3.5441440689621677
10,y12_trans,-3.3084976816894933,3.3084976816894933
10,x11_trans,-3.110976189434793,3.110976189434793
10,x12_trans,-3.093133153733462,3.093133153733462
10,x4_trans,2.991403999978231,2.991403999978231
10,y15_trans,2.9341433170771203,2.9341433170771203
10,y3_trans,-2.6780787459594992,2.6780787459594992
10,y7_trans,2.6099577336868203,2.6099577336868203
11,x4_trans,6.1089027572091466,6.1089027572091466
11,x3_trans,3.15654454965922,3.15654454965922
11,y12_trans,2.021840515040457,2.021840515040457
11,y8_trans,-1.6537846645747638,1.6537846645747638
11,y4_trans,1.5567802220042886,1.5567802220042886
11,y16_trans,1.4229621332767548,1.4229621332767548
11,y11_trans,1.3793037329545152,1.3793037329545152
11,y7_trans,-1.2938212227206045,1.2938212227206045
11,x1_trans,-1.2851023885761104,1.2851023885761104
11,x5_trans,-1.1049619493485916,1.1049619493485916
12,y15_trans,-8.673282228846173,8.673282228846173
12,y14_trans,-8.112605027227811,8.112605027227811
12,y12_trans,5.764662537604784,5.764662537604784
12,y8_trans,4.821217879347377,4.821217879347377
12,y16_trans,-4.591423071623467,4.591423071623467
12,x3_trans,-3.7632244315360714,3.7632244315360714
12,y20_trans,3.4529315391746076,3.4529315391746076
12,x10_trans,3.4097864784460263,3.4097864784460263
12,x11_trans,2.604763201327158,2.604763201327158
12,x4_trans,-2.582808387780283,2.582808387780283
13,y11_trans,-6.457411178848441,6.457411178848441
13,y10_trans,-5.340853246676222,5.340853246676222
13,y16_trans,4.621476026877677,4.621476026877677
13,x4_trans,-4.54489307462208,4.54489307462208
13,y8_trans,3.933785166495608,3.933785166495608
13,x3_trans,-3.079914549433491,3.079914549433491
13,y12_trans,-3.0604172247502337,3.0604172247502337
13,y15_trans,3.0108228512724677,3.0108228512724677
13,x1_trans,2.819727899584377,2.819727899584377
13,x15_trans,2.690470876538283,2.690470876538283
14,x17_trans,-4.3505534946726385,4.3505534946726385
14,x13_trans,-3.9849371510624207,3.9849371510624207
14,x0_trans,-3.6173567630668706,3.6173567630668706
14,x20_trans,3.556728243489436,3.556728243489436
14,y0_trans,3.3079893217417027,3.3079893217417027
14,x9_trans,-2.4135281518115175,2.4135281518115175
14,y4_trans,-2.2119616880735484,2.2119616880735484
14,y8_trans,2.1700411361284973,2.1700411361284973
14,y10_trans,-1.7686317707029502,1.7686317707029502
14,x19_trans,1.5747365117651695,1.5747365117651695
15,y12_trans,2.3964725833942633,2.3964725833942633
15,y4_trans,-2.1580856972860687,2.1580856972860687
15,y11_trans,1.9729294682355307,1.9729294682355307
15,x12_trans,1.9310368603685668,1.9310368603685668
15,x0_trans,-1.7685187695892328,1.7685187695892328
15,x8_trans,1.7680231674570326,1.7680231674570326
15,x13_trans,-1.6435886440397587,1.6435886440397587
15,x1_trans,-1.5022528862942175,1.5022528862942175
15,x11_trans,1.4759320062966839,1.4759320062966839
15,y0_trans,-1.3777856641951889,1.3777856641951889
16,y8_trans,3.207672370169944,3.207672370169944
16,y12_trans,2.321050043073369,2.321050043073369
16,y7_trans,2.0229228236796852,2.0229228236796852
16,y9_trans,-1.9736430486567016,1.9736430486567016
16,y11_trans,1.9276659586157114,1.9276659586157114
16,y5_trans,-1.8248663873430544,1.8248663873430544
16,y13_trans,-1.7693063177843158,1.7693063177843158
16,y0_trans,-1.5553308734149147,1.5553308734149147
16,y17_trans,-1.4246851781009229,1.4246851781009229
16,y1_trans,-1.3886183938838266,1.3886183938838266
17,x8_trans,-6.498468793858819,6.498468793858819
17,x7_trans,-5.1389010543257525,5.1389010543257525
17,y4_trans,-4.60360177827514,4.60360177827514
17,x2_trans,-3.2954355569680347,3.2954355569680347
17,x9_trans,2.9579727284703576,2.9579727284703576
17,x10_trans,2.8639025994592044,2.8639025994592044
17,x13_trans,2.7733571841662745,2.7733571841662745
17,y1_trans,2.743002249781677,2.743002249781677
17,y6_trans,2.61291931619533,2.61291931619533
17,x6_trans,-2.610227488169835,2.610227488169835
18,x4_trans,-7.622250197210315,7.622250197210315
18,y6_trans,-6.734306108359346,6.734306108359346
18,y11_trans,4.750560094358542,4.750560094358542
18,x0_trans,-4.723042193325805,4.723042193325805
18,y20_trans,-4.5888731763875095,4.5888731763875095
18,x17_trans,-4.153052112598308,4.153052112598308
18,y16_trans,-3.9790722471399125,3.9790722471399125
18,x6_trans,3.8901588725187706,3.8901588725187706
18,x20_trans,-3.617202942323198,3.617202942323198
18,x5_trans,3.3984566099421816,3.3984566099421816
19,y4_trans,-6.512869749263434,6.512869749263434
19,y16_trans,6.38255339313199,6.38255339313199
19,y12_trans,5.117728084262541,5.117728084262541
19,x0_trans,-4.608149037671184,4.608149037671184
19,y7_trans,-4.139575599169911,4.139575599169911
19,y20_trans,3.7138176790837614,3.7138176790837614
19,y3_trans,-3.186767606332416,3.186767606332416
19,y15_trans,2.385383143204424,2.385383143204424
19,y8_trans,2.181689824372407,2.181689824372407
19,x1_trans,-2.111678993243661,2.111678993243661
2,x4_trans,3.3299210753249975,3.3299210753249975
2,y4_trans,2.9758370087068307,2.9758370087068307
2,y3_trans,2.8911336422591307,2.8911336422591307
2,y19_trans,-2.2784867455741677,2.2784867455741677
2,y20_trans,-2.2078044328985733,2.2078044328985733
2,y16_trans,-2.1132267117872976,2.1132267117872976
2,y12_trans,-2.0581909634251425,2.0581909634251425
2,y8_trans,-1.9360384300792879,1.9360384300792879
2,x17_trans,1.8909524139390206,1.8909524139390206
2,y18_trans,-1.8636193289897967,1.8636193289897967
20,y14_trans,6.461082385505943,6.461082385505943
20,x4_trans,-5.253959215861745,5.253959215861745
20,x15_trans,3.833526419873299,3.833526419873299
20,y4_trans,3.5952791783765967,3.5952791783765967
20,y15_trans,3.3041393081031387,3.3041393081031387
20,x14_trans,3.0974244210362634,3.0974244210362634
20,y12_trans,-3.0814409676887493,3.0814409676887493
20,x3_trans,-2.6571093068558387,2.6571093068558387
20,x6_trans,-2.5635378167047023,2.5635378167047023
20,x17_trans,-2.5104267023143927,2.5104267023143927
21,x8_trans,5.437485236102628,5.437485236102628
21,x4_trans,-5.436272773473285,5.436272773473285
21,y19_trans,4.311250112729787,4.311250112729787
21,y20_trans,3.9409231032094154,3.9409231032094154
21,x3_trans,-3.763367552782903,3.763367552782903
21,x7_trans,3.593783381490044,3.593783381490044
21,x11_trans,-3.5517638789974786,3.5517638789974786
21,y4_trans,3.5500216345971007,3.5500216345971007
21,y3_trans,3.5270394109206973,3.5270394109206973
21,y18_trans,3.4545896262443674,3.4545896262443674
22,x16_trans,-5.190636162481904,5.190636162481904
22,y4_trans,4.299193602745609,4.299193602745609
22,y16_trans,-4.276871591697302,4.276871591697302
22,x15_trans,-4.062318813810912,4.062318813810912
22,y3_trans,3.6920189300544273,3.6920189300544273
22,x14_trans,-3.043725311921976,3.043725311921976
22,x0_trans,2.9172672583849644,2.9172672583849644
22,y15_trans,-2.6341235672969687,2.6341235672969687
22,y2_trans,2.2849507002347975,2.2849507002347975
22,x12_trans,2.223398087381588,2.223398087381588
23,y8_trans,-6.4308710990278355,6.4308710990278355
23,x4_trans,-4.99947853114467,4.99947853114467
23,x3_trans,-4.85974420639498,4.85974420639498
23,y4_trans,4.637750363047298,4.637750363047298
23,x0_trans,4.458759137532456,4.458759137532456
23,x6_trans,3.0981791759232413,3.0981791759232413
23,y12_trans,2.939181066918403,2.939181066918403
23,y15_trans,-2.7709245985253177,2.7709245985253177
23,y6_trans,2.675245420601587,2.675245420601587
23,x7_trans,2.6307523183258548,2.6307523183258548
24,x4_trans,5.88423980423431,5.88423980423431
24,x20_trans,-5.435838295340915,5.435838295340915
24,x3_trans,5.12680573973951,5.12680573973951
24,x19_trans,-4.14199427863839,4.14199427863839
