,precision,recall,f1-score,support
0,1.0,1.0,1.0,40.0
1,1.0,1.0,1.0,37.0
10,1.0,1.0,1.0,40.0
11,1.0,1.0,1.0,38.0
12,0.9523809523809523,1.0,0.975609756097561,40.0
13,1.0,0.95,0.9743589743589743,40.0
14,1.0,0.975,0.9873417721518987,40.0
15,1.0,0.975,0.9873417721518987,40.0
16,0.975,1.0,0.9873417721518987,39.0
17,1.0,1.0,1.0,39.0
18,1.0,1.0,1.0,40.0
19,1.0,1.0,1.0,40.0
2,0.975609756097561,1.0,0.9876543209876543,40.0
20,0.975,1.0,0.9873417721518987,39.0
21,1.0,0.972972972972973,0.9863013698630138,37.0
22,1.0,1.0,1.0,35.0
23,1.0,1.0,1.0,40.0
24,1.0,1.0,1.0,40.0
25,1.0,1.0,1.0,40.0
26,1.0,1.0,1.0,34.0
27,1.0,1.0,1.0,40.0
28,1.0,0.9696969696969697,0.9846153846153847,33.0
3,1.0,1.0,1.0,40.0
4,1.0,1.0,1.0,40.0
5,1.0,1.0,1.0,40.0
6,0.975609756097561,1.0,0.9876543209876543,40.0
7,1.0,1.0,1.0,40.0
8,1.0,1.0,1.0,40.0
9,1.0,1.0,1.0,40.0
accuracy,0.9946949602122016,0.9946949602122016,0.9946949602122016,0.9946949602122016
macro avg,0.9949517401577957,0.9945748256093083,0.9946745246730289,1131.0
weighted avg,0.9948665062626374,0.9946949602122016,0.9946919127095604,1131.0
