feature,importance
theta_1_2_3,0.11439286648081287
theta_0_5_6,0.09160153919144483
theta_5_6_7,0.08804305410544123
theta_9_10_11,0.07676211990534741
theta_13_14_15,0.07667696676615236
theta_17_18_19,0.07500832094368755
theta_2_3_4,0.07142083892578313
theta_0_9_10,0.06435736544280186
theta_0_13_14,0.06272695976425703
theta_0_17_18,0.06116067847653299
theta_14_15_16,0.04898809160308777
theta_6_7_8,0.045821912638407264
theta_18_19_20,0.04420938105408895
theta_0_1_2,0.04102009033434349
theta_10_11_12,0.03780981436781134
