,precision,recall,f1-score,support
0,1.0,1.0,1.0,23.0
1,1.0,0.9722222222222222,0.9859154929577464,36.0
10,1.0,1.0,1.0,38.0
11,1.0,1.0,1.0,37.0
12,1.0,1.0,1.0,40.0
13,1.0,1.0,1.0,40.0
14,1.0,1.0,1.0,40.0
15,1.0,1.0,1.0,40.0
16,1.0,1.0,1.0,39.0
17,1.0,1.0,1.0,39.0
18,1.0,1.0,1.0,40.0
19,1.0,1.0,1.0,40.0
2,1.0,1.0,1.0,40.0
20,1.0,1.0,1.0,39.0
21,1.0,1.0,1.0,34.0
22,1.0,0.9705882352941176,0.9850746268656716,34.0
23,1.0,1.0,1.0,40.0
24,1.0,1.0,1.0,40.0
25,1.0,1.0,1.0,40.0
26,1.0,1.0,1.0,34.0
27,1.0,0.975,0.9873417721518987,40.0
28,0.9428571428571428,1.0,0.9705882352941176,33.0
3,1.0,1.0,1.0,40.0
4,1.0,1.0,1.0,40.0
5,0.9736842105263158,1.0,0.9866666666666666,37.0
6,1.0,1.0,1.0,40.0
7,1.0,1.0,1.0,35.0
8,1.0,1.0,1.0,37.0
9,1.0,1.0,1.0,36.0
accuracy,0.997250229147571,0.997250229147571,0.997250229147571,0.997250229147571
macro avg,0.9971221156339124,0.997165877845391,0.9970891997909002,1091.0
weighted avg,0.9973791031198526,0.997250229147571,0.9972642019957472,1091.0
