feature,importance
y8,0.049116307052750344
x4,0.04428195492065795
y4,0.044258343069882355
y20,0.042404341203409655
x20,0.04219439342971516
x18,0.04204165189097362
x19,0.03904784132301175
y12,0.03609338551565043
y10,0.033380474115938495
x17,0.033372486650477526
y11,0.03302625378515723
y16,0.03262708987933399
y14,0.03232241962500836
x13,0.02974588592794352
y17,0.02811064838961345
y6,0.025767483765608317
x0,0.025680815003926823
y7,0.02492568345517631
y0,0.02394023560470442
y15,0.023299111699077862
y5,0.022208463990895336
x9,0.021137820753452757
y1,0.020138377735833126
y3,0.020062836075452943
x16,0.0196475639067198
x5,0.018457948837873855
y2,0.01735886205094204
y19,0.016326558654252338
x12,0.015591856179037517
x8,0.015171610655159174
x15,0.014602062955746944
x3,0.01417096891912131
x14,0.013855230421462089
x11,0.011674790173171065
y18,0.011336032357175271
y9,0.011185871839802176
y13,0.01116659568481252
x7,0.009578921462537597
x6,0.009229807007604304
x10,0.00885826744064391
x2,0.006915460035326805
x1,0.0056872865549596275
