,precision,recall,f1-score,support
0,1.0,1.0,1.0,40.0
1,1.0,1.0,1.0,37.0
10,1.0,1.0,1.0,40.0
11,1.0,1.0,1.0,38.0
12,1.0,1.0,1.0,40.0
13,0.975609756097561,1.0,0.9876543209876543,40.0
14,1.0,1.0,1.0,40.0
15,1.0,1.0,1.0,40.0
16,1.0,1.0,1.0,39.0
17,1.0,1.0,1.0,39.0
18,1.0,0.975,0.9873417721518987,40.0
19,1.0,1.0,1.0,40.0
2,1.0,1.0,1.0,40.0
20,1.0,1.0,1.0,39.0
21,1.0,1.0,1.0,37.0
22,1.0,0.9714285714285714,0.9855072463768115,35.0
23,1.0,1.0,1.0,40.0
24,0.975609756097561,1.0,0.9876543209876543,40.0
25,1.0,1.0,1.0,40.0
26,1.0,1.0,1.0,34.0
27,1.0,1.0,1.0,40.0
28,1.0,1.0,1.0,33.0
3,1.0,1.0,1.0,40.0
4,1.0,1.0,1.0,40.0
5,0.975609756097561,1.0,0.9876543209876543,40.0
6,1.0,1.0,1.0,40.0
7,1.0,1.0,1.0,40.0
8,1.0,0.975,0.9873417721518987,40.0
9,1.0,1.0,1.0,40.0
accuracy,0.9973474801061007,0.9973474801061007,0.9973474801061007,0.9973474801061007
macro avg,0.9974768713204374,0.9972906403940887,0.9973501294359851,1131.0
weighted avg,0.997412175713269,0.9973474801061007,0.997346254565746,1131.0
