feature,importance
y12,0.03515292056608156
y4,0.03400601742242057
y8,0.031426068063110234
y16,0.030648237958884637
y20,0.030377668338896723
y15,0.02857674628365145
y11,0.02608288656368661
y3,0.025547081541131875
z5,0.024471613534448336
y19,0.024405409767397933
y18,0.023159671613657368
x4,0.022372488429555658
y7,0.02196750876557303
y17,0.021912641398549024
x0,0.020116801855543057
x17,0.0193691419984922
y1,0.019047504214678455
y0,0.018203569325862506
y14,0.018150889052734948
y5,0.01814160798802236
y2,0.017652850370553017
x18,0.017378813670179533
x12,0.01730309423939538
z1,0.017180276020788875
y13,0.01712476323055701
y6,0.016968005099772244
y9,0.016880101546270655
x8,0.016613025224446572
y10,0.01590670845528341
x13,0.01560556116474835
x11,0.015158478946994857
x1,0.01491376785938219
z0,0.014804545975906256
z9,0.014727552839382438
x7,0.01471191320928618
x20,0.01450658203512074
x15,0.014160377990866875
x19,0.01382607509295712
x3,0.013378117782681852
x6,0.012868012021800046
x14,0.012866866270572493
x2,0.012493218859033666
x16,0.01223123491485893
x10,0.011420711602581003
z2,0.011113217814800432
x5,0.01063664747826729
z20,0.010276095759781119
z8,0.010136018705087162
x9,0.010030551814316084
z16,0.009666275802173243
z6,0.008938391936240304
z7,0.008883613521714732
z4,0.008358069953543884
z13,0.007261245952039432
z3,0.007155269997753217
z10,0.0069105075122702685
z19,0.0063424614681074085
z17,0.005751718322340704
z15,0.005632124904310941
z12,0.005351072903768024
z14,0.0051631257211879385
z18,0.00429650344467605
z11,0.00427995788182355
